seed,station,response,mean,sigma,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,sample_max,sample_min
20260905,3L/4,vertical_common_m,-0.17626575321236643,1.3487339516474193,1.3602032524891219,4.544303077553601,-4.896834583978333,4.219165731183332,-3.9756401132364383
20260905,L/4,local_roll_L_deg,5.212310442009644,1.0935624407717013,5.3257918618501545,9.0397789847106,1.38484189930869,8.26487653768591,2.144096520703573
20260905,L/2,local_roll_L_deg,3.598350553292055,0.6838903666199558,3.6627629923232567,5.9919668364619,1.2047342701222097,5.964144780137613,2.1065774227121103
20260905,3L/4,local_roll_L_deg,5.179830289361819,1.0941395488692627,5.294127234869784,9.009318710404237,1.3503418683193997,8.193320253534763,2.1058176114155005
20260905,L/4,local_roll_R_deg,5.212308011320621,1.0935628168487528,5.325789560175214,9.039777870291257,1.3848381523499862,8.264877983482824,2.1440777873021646
20260905,L/2,local_roll_R_deg,3.5983472292645,0.6838897358598929,3.6627596089792758,5.991961304774125,1.2047331537548747,5.9641479368103925,2.106560918233223
20260905,3L/4,local_roll_R_deg,5.179827875726654,1.0941399874932003,5.294124963994194,9.009317831952856,1.3503379195004532,8.193332103702545,2.1058079847191347
20260905,L/4,system_roll_deg,0.4910955698759052,0.38420103346582785,0.6235264973262566,1.8357991870063026,-0.8536080472544922,1.2272536765308626,-0.528415536136358
20260905,L/2,system_roll_deg,0.7244032891669873,0.18818701886767658,0.7484480472459347,1.3830578552038553,0.06574872313011926,1.2913256481927555,0.32603746196685945
20260905,3L/4,system_roll_deg,0.492159386800418,0.38455457359751777,0.6245823261112439,1.8381003943917302,-0.8537816207908944,1.3971613844382773,-0.3337238863000112
20261005,L/4,lateral_common_m,35.98191129077992,11.254939623677558,37.70108229308785,75.37419997365137,-3.410377392091533,66.56265801051279,13.258915693771868
20261005,L/2,lateral_common_m,47.85520181649726,15.329432822048014,50.250491057733605,101.5082166936653,-5.797813060670791,86.81966403778344,11.561133790169336
20261005,3L/4,lateral_common_m,35.98104900938314,11.281157191155797,37.70809456054758,75.46509917842843,-3.5030011596621478,64.15021739902883,3.3261087308113346
20261005,L/4,vertical_common_m,-0.1762619655262954,1.803733523971245,1.8123252759890867,6.136805368373063,-6.489329299425654,3.9052541040296918,-4.706742858210383
20261005,L/2,vertical_common_m,-0.24093820452933726,1.0079905079491336,1.03638606827638,3.28702857329263,-3.7689049823513048,2.5411789122635016,-3.31670019918028
20261005,3L/4,vertical_common_m,-0.17626575321236643,1.7897534942497013,1.7984124070786818,6.087871476661588,-6.4404029830863205,3.813094566542402,-4.871091234412764
20261005,L/4,local_roll_L_deg,5.212310442009644,1.1301747909613329,5.333429965979422,9.167922210374309,1.2566986736449794,8.54459170557178,1.4887434984883572
20261005,L/2,local_roll_L_deg,3.598350553292055,0.711722335916498,3.6680615299936936,6.089378728999798,1.1073223775843122,5.488278174558947,1.1854450663445335
20261005,3L/4,local_roll_L_deg,5.179830289361819,1.1604833202515175,5.308235428385984,9.241521910242131,1.1181386684815076,8.97046892688008,1.5312832688086484
20261005,L/4,local_roll_R_deg,5.212308011320621,1.1301760298763408,5.333427853021373,9.167924115887814,1.2566919067534283,8.544604034823642,1.4887269856990257
20261005,L/2,local_roll_R_deg,3.5983472292645,0.711722508668595,3.668058302658373,6.089376009604582,1.1073184489244174,5.488274216126197,1.1854396887657601
20261005,3L/4,local_roll_R_deg,5.179827875726654,1.1604834556394548,5.308233102734637,9.241519970464747,1.1181357809885624,8.970471369065953,1.531280196126208
20261005,L/4,system_roll_deg,0.4910955698759052,0.4761593980760086,0.6840340862324383,2.1576534631419353,-1.175462323390125,1.7004158105715312,-0.5854593361598752
20261005,L/2,system_roll_deg,0.7244032891669873,0.2389451404979764,0.7627941436085803,1.5607112809099046,-0.11190470257593021,1.3950442940330179,-0.10462780915247683
20261005,3L/4,system_roll_deg,0.492159386800418,0.481312836514877,0.6883915372880176,2.1767543146024875,-1.1924355410016516,1.6075759794190918,-0.7500112341044876
20261105,L/4,lateral_common_m,35.98191129077992,9.850846398245936,37.30599301585993,70.4598736846407,1.503948896919141,62.19458826645321,13.464531747585049
20261105,L/2,lateral_common_m,47.85520181649726,13.470830986298601,49.71502417136197,95.00311026854236,0.7072933644521555,80.70041913597959,19.591799585017434
20261105,3L/4,lateral_common_m,35.98104900938314,9.722878755178984,37.27157441138679,70.01112465250958,1.9509733662566973,59.80214137113279,14.478271701045706
20261105,L/4,vertical_common_m,-0.1762619655262954,1.7410842711031371,1.7499836340874548,5.917532983334684,-6.2700569143872755,3.7563119423000844,-5.316854320296195
20261105,L/2,vertical_common_m,-0.24093820452933726,0.9882201998877994,1.0171678238462436,3.2178324950779604,-3.699708904136635,2.2814229943590796,-2.9655502800212625
20261105,3L/4,vertical_common_m,-0.17626575321236643,1.7511960004955638,1.7600446153172316,5.952920248522107,-6.305451754946839,4.221073809602269,-5.081889228952627
20261105,L/4,local_roll_L_deg,5.212310442009644,1.2687119522114219,5.364495331488964,9.652802274749622,0.7718186092696682,8.260868925144216,1.0422303918879816
20261105,L/2,local_roll_L_deg,3.598350553292055,0.6941493247636285,3.664692345811179,6.027873189964755,1.1688279166193558,6.090432229004833,1.6551709852144592
20261105,3L/4,local_roll_L_deg,5.179830289361819,1.196032162484643,5.316120273309083,9.36594285805807,0.9937177206655683,8.480805768654243,1.6181862486782777
20261105,L/4,local_roll_R_deg,5.212308011320621,1.2687135104546527,5.364493338283429,9.652805297911906,0.7718107247293364,8.26086513241966,1.0422163186334323
20261105,L/2,local_roll_R_deg,3.5983472292645,0.6941494087242662,3.6646890978618845,6.0278701597994315,1.168824298729568,6.090433820857934,1.655170586843487
20261105,3L/4,local_roll_R_deg,5.179827875726654,1.1960330385760505,5.31611811865767,9.36594351074283,0.9937122407104777,8.480810744567751,1.6181646773068241
20261105,L/4,system_roll_deg,0.4910955698759052,0.683734135288237,0.8418237502649193,2.884165043384735,-1.9019739036329244,1.8796571197776062,-1.0212541218799502
20261105,L/2,system_roll_deg,0.7244032891669873,0.22985039181342315,0.759994294697489,1.5288796605139683,-0.08007308217999376,1.3793848145966456,0.010733344796777122
20261105,3L/4,system_roll_deg,0.492159386800418,0.6821810867707957,0.8411848174827856,2.879793190498203,-1.895474416897367,1.965233946400933,-0.9711716807157547
20261205,L/4,lateral_common_m,35.98191129077992,16.017153660223524,39.385875025353535,92.04194910156225,-20.078126520002414,76.57510124174381,0.5133910361694305
20261205,L/2,lateral_common_m,47.85520181649726,22.344420204419514,52.81470870097982,126.06067253196555,-30.350268898971038,99.35113933441647,-0.9872660574325351
20261205,3L/4,lateral_common_m,35.98104900938314,15.894912330780354,39.33553261135312,91.61324216711438,-19.651144148348095,72.32524451317624,-0.3940661026365646
20261205,L/4,vertical_common_m,-0.1762619655262954,1.5775978154383123,1.5874139812181725,5.345330388507797,-5.697854319560388,3.97020786373053,-3.6725197884408254
20261205,L/2,vertical_common_m,-0.24093820452933726,0.8436791832476025,0.8774085608467485,2.7119389368372713,-3.193815345895946,2.471989009726297,-2.694739496593364
20261205,3L/4,vertical_common_m,-0.17626575321236643,1.5968895863042376,1.6065883002818246,5.412847798852465,-5.7653793052771976,3.54557606444646,-4.1541174254130615
20261205,L/4,local_roll_L_deg,5.212310442009644,1.0537992694618834,5.31776955538703,8.900607885126236,1.5240129988930526,8.439303527011091,0.7643969776942177
20261205,L/2,local_roll_L_deg,3.598350553292055,0.6798694352754203,3.662014357344733,5.977893576756026,1.218807529828084,5.665392369254196,1.5302305621980117
20261205,3L/4,local_roll_L_deg,5.179830289361819,1.0875811589718924,5.292775699379371,8.986364345763443,1.3732962329601954,8.359156293212607,1.4429635069426099
20261205,L/4,local_roll_R_deg,5.212308011320621,1.0538012968289374,5.317767574657196,8.900612550221902,1.52400347241934,8.439320505585208,0.7643879048211453
20261205,L/2,local_roll_R_deg,3.5983472292645,0.6798701305307115,3.662011220182613,5.97789268612199,1.2188017724070095,5.665400104901138,1.5302299213526709
20261205,3L/4,local_roll_R_deg,5.179827875726654,1.0875835536247065,5.292773829313874,8.986370313413127,1.3732854380401815,8.359162343630292,1.4429480703729594
20261205,L/4,system_roll_deg,0.4910955698759052,0.31764269698167646,0.5848689953293243,1.6028450093117728,-0.6206538695599624,1.454571953421927,-0.5104765007725558
20261205,L/2,system_roll_deg,0.7244032891669873,0.2576204897507358,0.7688487771306909,1.6260750032945626,-0.17726842496058814,1.4605668220217476,0.02524321215684555
20261205,3L/4,system_roll_deg,0.492159386800418,0.31507580516761563,0.5843745588385798,1.5949247048870727,-0.6106059312862369,1.3585508131654056,-0.34669322284912424
