width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1172,1172,1173,gantry_rope,536.7504302826944,15.648237357506275,591.5192610339664,
L,1173,1173,1174,gantry_rope,536.75064529622,15.648250968554859,591.519523686162,
L,1174,1174,1175,gantry_rope,536.7578113326133,15.64857030119954,591.5278073868117,
L,1175,1175,1176,gantry_rope,536.7682820737292,15.648977391675755,591.5397029445944,
L,1176,1176,1177,gantry_rope,536.782008233442,15.649448360715077,591.5550774959447,
L,1177,1177,1178,gantry_rope,536.7972892662528,15.649928553549222,591.5720392036751,
L,1178,1178,1179,gantry_rope,536.8725302401203,15.653081903452499,591.6583169022041,
L,1179,1179,1180,gantry_rope,536.899410383464,15.654091461294822,591.6887304979958,
L,1180,1180,1181,gantry_rope,536.9328872024024,15.65526066493474,591.726299529674,
L,1181,1181,1182,gantry_rope,536.9696056028154,15.6564962332963,591.7673424193524,
L,1182,1182,1183,gantry_rope,537.0045724568304,15.657673397259188,591.8064293472376,
L,1183,1183,1184,gantry_rope,537.1497173522703,15.663755190855413,591.9728605202642,
L,1184,1184,1185,gantry_rope,537.1963115282916,15.665403893074636,592.0252251540528,
L,1185,1185,1186,gantry_rope,537.2478357847234,15.667220342996398,592.0831069852107,
L,1186,1186,1187,gantry_rope,537.3026355199652,15.669094989812812,592.14446798431,
L,1187,1187,1188,gantry_rope,537.3557361674564,15.670895571193508,592.2038706666336,
L,1188,1188,1189,gantry_rope,537.6036939486987,15.679886702680953,592.4832974080821,
L,1189,1189,1190,gantry_rope,537.6745030393988,15.6824274994302,592.5629992874045,
L,1190,1190,1191,gantry_rope,537.7536687120084,15.685277096164203,592.6521385485831,
L,1191,1191,1192,gantry_rope,537.8361004330316,15.68818701090477,592.7447549711983,
L,1192,1192,1193,gantry_rope,537.9150604772716,15.690878948903569,592.8331367984341,
L,1193,1193,1194,gantry_rope,538.2095357619553,15.703373885265993,593.1713443603862,
L,1194,1194,1195,gantry_rope,538.2984444997738,15.70656128041997,593.2714089812438,
L,1195,1195,1196,gantry_rope,538.4006530626963,15.710112844230759,593.386048017504,
L,1196,1196,1197,gantry_rope,538.5061001544182,15.713714633875025,593.5041013729807,
L,1197,1197,1198,gantry_rope,538.6030874569706,15.71702643705258,593.6126799866546,
L,1198,1198,1199,gantry_rope,538.9792607706729,15.732812464552994,594.0441043966084,
L,1199,1199,1200,gantry_rope,539.1011792923769,15.736965172458916,594.1805573959831,
L,1200,1200,1201,gantry_rope,539.226344279897,15.741158487307002,594.3203989854716,
L,1201,1201,1202,gantry_rope,539.3530963405566,15.745390157655681,594.4619618923515,
L,1202,1202,1203,gantry_rope,539.4847775049234,15.74965782218509,594.6085798825712,
L,1203,1203,1204,gantry_rope,539.9947088959811,15.766320790377923,595.1768316623039,
L,1204,1204,1205,gantry_rope,540.12738325849,15.770734990273366,595.3249557244468,
L,1205,1205,1206,gantry_rope,540.278423884577,15.775612362244887,595.4930671524342,
L,1206,1206,1207,gantry_rope,540.4310554444213,15.780514382151544,595.6628557819517,
L,1207,1207,1208,gantry_rope,540.5735253986834,15.784985512464598,595.8209746923095,
L,1208,1208,1209,gantry_rope,541.0900276148282,15.805658911212019,596.4098338040702,
L,1209,1209,1210,gantry_rope,541.244106332736,15.810495323818264,596.5808399660999,
L,1210,1210,1211,gantry_rope,541.4165044223544,15.815822811943695,596.7718842641573,
L,1211,1211,1212,gantry_rope,541.5921470599775,15.821159728421673,596.9662061094533,
L,1212,1212,1213,gantry_rope,541.7543201601763,15.826012739125979,597.1453647471172,
