mode,frequency_hz,family,span_parity,provisional_label,symmetry_correlation,mass_energy_x_fraction,mass_energy_y_fraction,mass_energy_z_fraction,signal_L,signal_V,signal_T,signal_X,main_span_signal_fraction,half_wave_order,template_mac,sequence_label,half_wave_fingerprint,label
21,0.18704713246363686,T,S,TS,0.9930223902610665,0.05772538330915989,0.026916883007044222,0.9153577336837958,0.001195652722818045,3.663190838005011e-10,0.010936481790584979,9.130623883469974e-11,0.9999999999947107,5,0.9455646177925735,TS3,TS2,TS3
22,0.18731363514184649,V,S,VS,0.9930679729857522,0.059532481607785584,3.280645500961529e-14,0.9404675183921817,3.928971005979605e-11,0.01108555211753439,3.6140906738993693e-10,0.002762962935457272,0.9999999999943069,5,0.9377029526894564,VS3,VS2,VS3
23,0.19644561057996757,EDGE,A,EDGEA,-0.01990898151723385,0.026318088670672136,0.03251044017857246,0.9411714711507554,6.343533066454052e-17,1.479601811869794e-16,6.41778656589044e-17,3.652106875139542e-17,1.1437153241589435e-06,0,0.0,EDGEA5,EDGEA5,EDGEA5
24,0.19736907220078226,EDGE,S,EDGES,0.05149780355272405,0.027819250434873818,6.274569889005221e-14,0.9721807495650635,2.0919264608642485e-16,5.592166902241414e-17,3.9149627334192073e-17,1.1978591752531366e-17,3.6737586932814636e-15,0,0.0,EDGES4,EDGES4,EDGES4
25,0.22001773021262125,L,A,LA,-0.9900408949792401,0.00017911985489904353,0.9966817644994301,0.0031391156456707582,0.011362092621439154,5.538716563474421e-12,0.0006444772253463506,1.3100732663539037e-12,0.9999999999999999,6,0.9956838057870873,LA3,LA3,LA3
26,0.22084934716164475,T,A,TA,-0.9898664559928554,0.0530703576720327,0.028168270113140964,0.9187613722148263,0.0016737431157197906,3.056121172945174e-09,0.011028364392946455,7.235463319238873e-10,0.9999999999999944,6,0.9916897934864329,TA3,TA3,TA3
27,0.2208764603367716,V,A,VA,-0.9898668504982713,0.05461251023709942,5.134902706336596e-14,0.9453874897628493,4.5172340752281834e-10,0.011187040116704546,3.0130884811507193e-09,0.002648562076829701,0.9999999999999946,6,0.9916611379639104,VA3,VA3,VA3
28,0.23100946292905816,EDGE,A,EDGEA,-0.6633691345751709,0.07169385043749796,0.22628686843760645,0.7020192811248956,1.955419430081152e-16,8.093277363949609e-17,3.680570959209678e-17,1.6322686199390644e-17,1.1168681653077276e-07,0,0.0,EDGEA6,EDGEA6,EDGEA6
29,0.23112549857627113,EDGE,A,EDGEA,-0.27093286233033054,0.09257912649878332,1.0811031730266074e-13,0.9074208735011084,4.1900793017709765e-16,1.6735135499947654e-16,1.2215333381546955e-16,4.6213032208644103e-17,1.1583845677372336e-14,0,0.0,EDGEA7,EDGEA7,EDGEA7
30,0.2320619085317931,EDGE,S,EDGES,0.6243261277299608,0.018811737650226295,0.7966414015327372,0.18454686081703656,1.7244885804273125e-16,9.207955785430591e-17,8.426575134366101e-17,3.087386217991245e-17,1.3291053048170093e-14,0,0.0,EDGES5,EDGES5,EDGES5
31,0.24802706483214176,EDGE,S,EDGES,0.5171985635430709,0.11213402727370092,0.3176612954952806,0.5702046772310184,6.515256425783693e-16,1.8128084537346742e-16,1.6485443932176266e-16,4.044645968627495e-17,5.166650625178203e-07,0,0.0,EDGES6,EDGES6,EDGES6
32,0.24823776271416653,EDGE,A,EDGEA,-0.211061101474283,0.1642341607710859,1.48169466910523e-13,0.8357658392287659,2.529891421212588e-16,6.138720590436112e-17,7.608285408861261e-17,1.675309143831517e-17,2.941614723758146e-07,0,0.0,EDGEA8,EDGEA8,EDGEA8
33,0.249101761952969,EDGE,S,EDGES,0.953269962285268,0.04837037530923066,0.7052149822930152,0.24641464239775426,1.5060277900279023e-15,3.384298296886463e-16,3.0818593370240834e-16,7.628071206920472e-17,1.252589657117825e-13,0,0.0,EDGES7,EDGES7,EDGES7
34,0.2560441221938902,L,S,LS,0.9865916438424974,6.513142494498874e-05,0.9987358124707474,0.0011990561043076018,0.011321774718970556,1.1157759939237282e-12,0.00039660376039814336,2.592444153669445e-13,1.0,7,0.9940040266807829,LS4,LS4,LS4
35,0.2581865896656615,T,S,TS,0.9863701357417928,0.05118891408335253,0.02748747538414467,0.9213236105325027,0.0014446439000408383,7.388050131082447e-10,0.010997518709796266,1.7214757581602057e-10,0.999999999998449,7,0.9858793425235425,TS4,TS3,TS4
36,0.2582861051866625,V,S,VS,0.9863680386856795,0.05278610781165236,1.1650685154364375e-13,0.9472138921882312,9.473231087042265e-11,0.011151342938099211,7.286444726052142e-10,0.002598293890142926,0.9999999999983635,7,0.9851016757623122,VS4,VS3,VS4
37,0.2804504043994412,L,S,LS,0.9884765632940282,4.853858648972878e-10,0.9999999994655417,4.9072378463720044e-11,2.2070960462472932e-08,3.331237440022864e-08,1.6775769847888666e-08,7.548146338042554e-09,1.0,1,0.8042800069588644,LS5,LS1,LS5
38,0.28229360358098127,L,A,LA,-0.9954749763757432,3.135985136728104e-11,0.9999999999257937,4.2846488941550315e-11,2.3076218992139287e-08,3.2630046541897656e-08,6.1811217930952695e-09,1.9892599618737272e-08,1.0,2,0.9388317771017946,LA4,LA1,LA4
39,0.2862340641957019,EDGE,A,EDGEA,-0.8575178869900967,1.7411933284667263e-11,0.999999999941486,4.1101991101659474e-11,1.8599448657005423e-16,1.3279572303683855e-16,3.367848139222613e-17,3.236932074207739e-17,5.902322866561968e-09,0,0.0,EDGEA9,EDGEA9,EDGEA9
40,0.29237312972946766,L,A,LA,-0.9819820309413934,0.0001085975476910199,0.9977352619747002,0.0021561404776087385,0.01126517638464772,1.9092682258854813e-12,0.0005316697693988256,4.3211869001766564e-13,0.9999999999999999,8,0.9915285444610806,LA5,LA4,LA5
41,0.29342864469925173,EDGE,A,EDGEA,-0.9367618815680641,1.2185483620462255e-11,0.9999999999487705,3.9043940932311955e-11,1.158634387818201e-16,1.0514859034182146e-15,1.0232384151643066e-15,2.4079697695067857e-16,4.050923363914153e-09,0,0.0,EDGEA10,EDGEA10,EDGEA10
42,0.29390701991558177,T,A,TA,-0.981648072763453,0.049598138290515924,0.028181388245720515,0.9222204734637636,0.0015820316514560116,1.2626139921360205e-09,0.01099467845491367,2.887900930301443e-10,0.999999999999996,8,0.9854726425512156,TA4,TA4,TA4
43,0.29395941485500143,V,A,VA,-0.9816515241183711,0.05111018734916052,1.7707139011319125e-13,0.9488898126506623,1.773557113519761e-10,0.011152545441340212,1.244807287273785e-09,0.0025508961354699204,0.9999999999999961,8,0.9854113942132808,VA4,VA4,VA4
44,0.2973398167888672,L,S,LS,0.9782097242213028,1.4967455861091643e-10,0.9999999998027744,4.755098137310869e-11,2.299077922493503e-08,3.5749530170652596e-08,8.73497811673603e-09,7.772266636869747e-09,0.9999999999999999,3,0.7963451024487456,LS6,LS2,LS6
45,0.3116010625721136,L,A,LA,-0.9923358485509755,5.039664746471782e-12,0.9999999999499285,4.5031878464684455e-11,2.2728819539415413e-08,3.466884339522585e-08,5.678249914254072e-09,7.966601108703012e-09,1.0000000000000002,4,0.9258951699392258,LA6,LA2,LA6
46,0.31680495446524454,EDGE,S,EDGES,0.6061704252702358,0.003188572937550164,0.9700978334536348,0.026713593608815107,1.888933691407653e-15,2.692082251663776e-16,6.305778859464583e-16,6.088013832277547e-17,2.2837459673626867e-13,0,0.0,EDGES8,EDGES8,EDGES8
47,0.3181051692480381,L,A,LA,-0.9928519907589259,0.004486595371509436,0.9769065122343358,0.018606892394154875,0.00642511824261368,2.3312420955074267e-12,0.001618593055539347,1.5330289452866976e-12,1.0,2,0.9009704814039112,LA7,LA1,LA7
48,0.3183527185485627,L,S,LS,0.9929940543746475,0.0017583225450380248,0.9621134194663077,0.03612825798865435,0.006388845203206966,2.3588502928839154e-12,0.002240548402535828,6.275726479925022e-13,1.0,1,0.6407868842481562,LS7,LS1,LS7
49,0.3203054326522477,EDGE,S,EDGES,0.12015826613010011,9.645023768045034e-12,0.9999999999419832,4.8371784245193665e-11,3.847026972789766e-17,2.790015791128763e-17,2.5690408449444767e-17,6.8619365582398075e-18,1.2215565677521064e-09,0,0.0,EDGES9,EDGES9,EDGES9
50,0.32492760677200405,EDGE,S,EDGES,0.9856277407905027,0.005125408522962259,0.9689203519598846,0.02595423951715313,5.938907171198232e-16,6.897145480710051e-16,1.5043211331787938e-16,1.6274109819674765e-16,7.220088636224774e-14,0,0.0,EDGES10,EDGES10,EDGES10
51,0.3280043278958674,L,S,LS,0.9839194873772886,4.203575641829468e-12,0.9999999999521371,4.365938897649227e-11,3.036720244296709e-08,3.289022845457776e-08,8.278468830993652e-09,7.70607580929046e-09,0.9999999999999998,5,0.5255621461646008,LS8,LS3,LS8
52,0.32932466513099085,L,S,LS,0.9775429779127864,4.462370450924199e-05,0.9988550041157707,0.0011003721797201297,0.011192006075920928,7.214870611747077e-13,0.00038021666751329513,1.572435059626657e-13,0.9999999999999999,9,0.9870920831852907,LS9,LS5,LS9
53,0.3316892076634996,T,S,TS,0.9771924246093416,0.04840165357995722,0.030938621356897192,0.9206597250631456,0.001499193228896707,1.0508058295570988e-09,0.01095663036867952,2.378104521258697e-10,0.9999999999988625,9,0.9807728392456798,TS5,TS4,TS5
54,0.3317445465751721,V,S,VS,0.9771750012760743,0.05003895571543311,4.687272168653504e-13,0.9499610442840982,1.4112520691600277e-10,0.011130274463990297,1.0343973730408168e-09,0.0025189098443795283,0.9999999999989657,9,0.9811641046921233,VS5,VS4,VS5
55,0.3317816901408996,EDGE,S,EDGES,0.976458686514775,0.02053905269111263,0.3695550236920863,0.6099059236168011,4.0124009420219855e-15,2.134767218920981e-14,2.7857353847259954e-14,4.828324099088067e-15,2.3188815298669118e-12,0,0.0,EDGES11,EDGES11,EDGES11
56,0.3321517973915287,EDGE,S,EDGES,0.9713281211244246,0.03263128727891803,3.6492175816369606e-13,0.967368712720717,2.0186515099070965e-15,2.259242628813339e-14,2.1833879095859227e-15,5.094707545792392e-15,1.4930825427598581e-12,0,0.0,EDGES12,EDGES12,EDGES12
57,0.3332806781560887,EDGE,S,EDGES,0.8972828290031374,0.011303435797981487,0.6530525773541335,0.33564398684788516,3.2600163362999293e-16,1.0877735554070282e-15,2.7755220308246363e-16,2.4389549448312266e-16,2.778051439506144e-14,0,0.0,EDGES13,EDGES13,EDGES13
58,0.33543239063575536,L,S,LS,0.9927378404972319,0.0009585342380466733,0.9748558403975632,0.024185625364389993,0.006586848352207619,2.6504383558840197e-12,0.0018623155254199391,4.923584182662148e-13,1.0,3,0.6033544755637466,LS10,LS2,LS10
59,0.34578133083842266,EDGE,A,EDGEA,-0.9532316662508713,0.017588701538037044,0.8073025192712853,0.17510877919067774,1.850940862088578e-15,5.516387649989369e-16,6.131064536382671e-16,1.0491548142963171e-16,1.3148573049334225e-13,0,0.0,EDGEA11,EDGEA11,EDGEA11
60,0.34615159876682866,L,A,LA,-0.991384671481254,0.001391677008866128,0.975159207208694,0.023449115782439932,0.0065259384932711655,2.4974089175475192e-12,0.0018221084426776675,5.998371055777183e-13,1.0,4,0.8478144145085459,LA8,LA2,LA8
61,0.3465988268242614,L,A,LA,-0.9870349858858617,2.5155389991501174e-12,0.999999999955661,4.182339310187701e-11,2.2703623272925525e-08,3.2898737684079466e-08,6.004453620866495e-09,7.337247067617368e-09,0.9999999999999964,6,0.9674430396392847,LA9,LA3,LA9
62,0.3472043732307635,EDGE,S,EDGES,0.3395094977643714,0.09065224833141303,4.730976966419239e-12,0.9093477516638561,3.8773312025163146e-16,2.276868592038696e-16,2.380355260589254e-16,4.325965995974437e-17,1.467505554668905e-06,0,0.0,EDGES14,EDGES14,EDGES14
