local_node_index,q_mm,r_mm,z_mm,role
44,9120.000000000000,1500.000000000000,1700.000000000000,M1:N012
45,10245.000000000000,750.000000000000,0.000000000000,M1:N013
46,11370.000000000000,0.000000000000,1700.000000000000,M1:N014
47,11370.000000000000,1500.000000000000,1700.000000000000,M1:N015
48,12495.000000000000,750.000000000000,0.000000000000,M1:N016
49,13620.000000000000,0.000000000000,1700.000000000000,M1:N017
50,13620.000000000000,1500.000000000000,1700.000000000000,M1:N018
51,14745.000000000000,750.000000000000,0.000000000000,M1:N019
52,15870.000000000000,750.000000000000,0.000000000000,M1:N020
53,15870.000000000000,0.000000000000,1700.000000000000,M1:N021
54,15870.000000000000,1500.000000000000,1700.000000000000,M1:N022
55,16140.000000000000,750.000000000000,0.000000000000,M1:N023|M2:N001
56,16140.000000000000,0.000000000000,1700.000000000000,M1:N024|M2:N002
57,16140.000000000000,375.000000000000,1700.000000000000,M1:N025|M2:N003
58,16140.000000000000,750.000000000000,1700.000000000000,M1:N026|M2:N004
59,16140.000000000000,1125.000000000000,1700.000000000000,M1:N027|M2:N005
60,16140.000000000000,1500.000000000000,1700.000000000000,M1:N028|M2:N006
61,16410.000000000000,750.000000000000,0.000000000000,M2:N007
62,16410.000000000000,0.000000000000,1700.000000000000,M2:N008
63,16410.000000000000,1500.000000000000,1700.000000000000,M2:N009
64,17535.000000000000,750.000000000000,0.000000000000,M2:N010
65,18660.000000000000,0.000000000000,1700.000000000000,M2:N011
66,18660.000000000000,1500.000000000000,1700.000000000000,M2:N012
67,19785.000000000000,750.000000000000,0.000000000000,M2:N013
68,20910.000000000000,0.000000000000,1700.000000000000,M2:N014
69,20910.000000000000,1500.000000000000,1700.000000000000,M2:N015
70,22035.000000000000,750.000000000000,0.000000000000,M2:N016
71,23160.000000000000,0.000000000000,1700.000000000000,M2:N017
72,23160.000000000000,1500.000000000000,1700.000000000000,M2:N018
73,24285.000000000000,750.000000000000,0.000000000000,M2:N019
74,25410.000000000000,750.000000000000,0.000000000000,M2:N020
75,25410.000000000000,0.000000000000,1700.000000000000,M2:N021
76,25410.000000000000,1500.000000000000,1700.000000000000,M2:N022
77,25680.000000000000,750.000000000000,0.000000000000,AD:N001|M2:N023
78,25680.000000000000,0.000000000000,1700.000000000000,AD:N002|M2:N024
79,25680.000000000000,375.000000000000,1700.000000000000,AD:N003|M2:N025
80,25680.000000000000,750.000000000000,1700.000000000000,AD:N004|M2:N026
81,25680.000000000000,1125.000000000000,1700.000000000000,AD:N005|M2:N027
82,25680.000000000000,1500.000000000000,1700.000000000000,AD:N006|M2:N028
83,25950.000000000000,750.000000000000,0.000000000000,AD:N007
84,25950.000000000000,0.000000000000,1700.000000000000,AD:N008
85,25950.000000000000,1500.000000000000,1700.000000000000,AD:N009
86,27275.000000000000,750.000000000000,0.000000000000,AD:N010
87,28600.000000000000,0.000000000000,1700.000000000000,AD:N011
88,28600.000000000000,1500.000000000000,1700.000000000000,AD:N012
89,29630.000000000000,750.000000000000,0.000000000000,AD:N013
90,30660.000000000000,0.000000000000,1700.000000000000,AD:N014
91,30660.000000000000,1500.000000000000,1700.000000000000,AD:N015
92,31985.000000000000,750.000000000000,0.000000000000,AD:N016
93,33310.000000000000,750.000000000000,0.000000000000,AD:N017
94,33310.000000000000,0.000000000000,1700.000000000000,AD:N018
95,33310.000000000000,1500.000000000000,1700.000000000000,AD:N019
96,33580.000000000000,750.000000000000,0.000000000000,AD:N020|M3:N001
97,33580.000000000000,0.000000000000,1700.000000000000,AD:N021|M3:N002
98,33580.000000000000,375.000000000000,1700.000000000000,AD:N022|M3:N003
99,33580.000000000000,750.000000000000,1700.000000000000,AD:N023|M3:N004
100,33580.000000000000,1125.000000000000,1700.000000000000,AD:N024|M3:N005
101,33580.000000000000,1500.000000000000,1700.000000000000,AD:N025|M3:N006
102,33850.000000000000,750.000000000000,0.000000000000,M3:N007
103,33850.000000000000,0.000000000000,1700.000000000000,M3:N008
104,33850.000000000000,1500.000000000000,1700.000000000000,M3:N009
105,34975.000000000000,750.000000000000,0.000000000000,M3:N010
106,36100.000000000000,0.000000000000,1700.000000000000,M3:N011
107,36100.000000000000,1500.000000000000,1700.000000000000,M3:N012
108,37225.000000000000,750.000000000000,0.000000000000,M3:N013
109,38350.000000000000,0.000000000000,1700.000000000000,M3:N014
110,38350.000000000000,1500.000000000000,1700.000000000000,M3:N015
111,39475.000000000000,750.000000000000,0.000000000000,M3:N016
112,40600.000000000000,0.000000000000,1700.000000000000,M3:N017
113,40600.000000000000,1500.000000000000,1700.000000000000,M3:N018
114,41725.000000000000,750.000000000000,0.000000000000,M3:N019
115,42850.000000000000,750.000000000000,0.000000000000,M3:N020
116,42850.000000000000,0.000000000000,1700.000000000000,M3:N021
117,42850.000000000000,1500.000000000000,1700.000000000000,M3:N022
118,43120.000000000000,750.000000000000,0.000000000000,M3:N023
119,43120.000000000000,0.000000000000,1700.000000000000,M3:N024
120,43120.000000000000,375.000000000000,1700.000000000000,M3:N025
121,43120.000000000000,750.000000000000,1700.000000000000,M3:N026
122,43120.000000000000,1125.000000000000,1700.000000000000,M3:N027
123,43120.000000000000,1500.000000000000,1700.000000000000,M3:N028
124,49720.000000000000,750.000000000000,0.000000000000,RT:N001
125,49720.000000000000,1500.000000000000,1700.000000000000,RT:N002
126,49720.000000000000,0.000000000000,1700.000000000000,RT:N003
127,49570.000000000000,1500.000000000000,1700.000000000000,RT:N004
128,49570.000000000000,0.000000000000,1700.000000000000,RT:N005
129,49120.000000000000,750.000000000000,0.000000000000,RT:N006
130,49120.000000000000,1500.000000000000,1700.000000000000,RT:N007
131,49120.000000000000,0.000000000000,1700.000000000000,RT:N008
132,48360.000000000000,750.000000000000,0.000000000000,RT:N009
133,48360.000000000000,1500.000000000000,1700.000000000000,RT:N010
134,48360.000000000000,0.000000000000,1700.000000000000,RT:N011
135,47285.000000000000,1500.000000000000,1700.000000000000,RT:N012
136,47285.000000000000,0.000000000000,1700.000000000000,RT:N013
137,46210.000000000000,750.000000000000,0.000000000000,RT:N014
138,46210.000000000000,1500.000000000000,1700.000000000000,RT:N015
139,46210.000000000000,0.000000000000,1700.000000000000,RT:N016
140,45135.000000000000,1500.000000000000,1700.000000000000,RT:N017
141,45135.000000000000,0.000000000000,1700.000000000000,RT:N018
142,44060.000000000000,750.000000000000,0.000000000000,RT:N019
143,44060.000000000000,1500.000000000000,1700.000000000000,RT:N020
144,44060.000000000000,1125.000000000000,1700.000000000000,RT:N021
145,44060.000000000000,750.000000000000,1700.000000000000,RT:N022
146,44060.000000000000,375.000000000000,1700.000000000000,RT:N023
147,44060.000000000000,0.000000000000,1700.000000000000,RT:N024
148,43290.000000000000,750.000000000000,0.000000000000,RT:N025
149,43290.000000000000,1500.000000000000,1700.000000000000,RT:N026
150,43290.000000000000,0.000000000000,1700.000000000000,RT:N027
151,43020.000000000000,750.000000000000,0.000000000000,RT:N028
152,43020.000000000000,1500.000000000000,1700.000000000000,RT:N029
153,43020.000000000000,1125.000000000000,1700.000000000000,RT:N030
154,43020.000000000000,750.000000000000,1700.000000000000,RT:N031
155,43020.000000000000,375.000000000000,1700.000000000000,RT:N032
156,43020.000000000000,0.000000000000,1700.000000000000,RT:N033
157,740.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-24120.000:R=0
158,740.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-24120.000:R=1500
