global_index,width,mct_node,x_m,y_m,z_m
1037,L,1308,3278.9183,-21.45,248.490724618006
1038,L,1309,3290.9183,-21.45,244.519260431538
1039,L,1310,3303.4183,-21.45,240.418871110867
1040,L,1311,3314.9183,-21.45,236.746304955269
1041,L,1312,3326.9183,-21.45,232.947606967151
1042,L,1313,3338.9183,-21.45,229.183140020285
1043,L,1314,3350.9183,-21.45,225.452876337266
1044,L,1315,3363.4183,-21.45,221.603525991369
1045,L,1316,3374.9183,-21.45,218.17439710838002
1046,L,1317,3386.9183,-21.45,214.629522527753
1047,L,1318,3398.9183,-21.45,211.118678526137
1048,L,1319,3410.9183,-21.45,207.64183919663
1049,L,1320,3423.4183,-21.45,204.056263390303
1050,L,1321,3434.9183,-21.45,200.856953136806
1051,L,1322,3446.9183,-21.45,197.55171380956702
1052,L,1323,3458.9183,-21.45,194.280327579943
1053,L,1324,3470.9183,-21.45,191.042770305609
1054,L,1325,3483.4183,-21.45,187.706261691082
1055,L,1326,3494.9183,-21.45,184.735929818669
1056,L,1327,3506.9183,-21.45,181.669460917361
1057,L,1328,3518.9183,-21.45,178.636679832541
1058,L,1329,3530.9183,-21.45,175.637564183596
1059,L,1330,3543.4183,-21.45,172.54926027379798
1060,L,1331,3554.9183,-21.45,169.81979474468102
1061,L,1332,3566.9183,-21.45,167.004504982032
1062,L,1333,3578.9183,-21.45,164.222741811501
1063,L,1334,3590.9183,-21.45,161.47448470561
1064,L,1335,3603.4183,-21.45,158.64732430106702
1065,L,1336,3614.9183,-21.45,156.14529355549098
1066,L,1337,3626.9183,-21.45,153.567188106338
1067,L,1338,3638.9183,-21.45,151.02246907889
1068,L,1339,3650.9183,-21.45,148.51111769318302
1069,L,1340,3663.4183,-21.45,145.930588773119
1070,L,1341,3673.909,-21.45,143.853796182052
1071,L,1342,3683.909,-21.45,141.89782140558202
1072,L,1343,3693.909,-21.45,139.964945786447
1073,L,1344,3703.909,-21.45,138.05515941870698
1074,L,1345,3713.909,-21.45,136.168452513802
1075,L,1346,3722.909,-21.45,134.49014124471302
1076,L,1347,3723.935,-21.45,134.300000000007
1077,L,1348,3724.909,-21.45,134.065224616716
1078,L,1349,3733.909,-21.45,131.906308710822
1079,L,1350,3743.909,-21.45,129.52965882706002
1080,L,1351,3753.909,-21.45,127.17630829512301
1081,L,1352,3763.909,-21.45,124.84624505365299
1082,L,1353,3773.9183,-21.45,122.537322678928
1083,L,1354,3785.9183,-21.45,119.869702549832
1084,L,1355,3796.9183,-21.45,117.453758871518
1085,L,1356,3807.9183,-21.45,115.06589736190499
1086,L,1357,3818.9183,-21.45,112.706103215721
1087,L,1358,3830.9183,-21.45,110.163775850171
1088,L,1359,3842.9183,-21.45,107.724609031605
1089,L,1360,3853.9183,-21.45,105.51796830113399
1090,L,1361,3864.9183,-21.45,103.339303385621
1091,L,1362,3875.9183,-21.45,101.188600775471
1092,L,1363,3887.9183,-21.45,98.8742549728832
1093,L,1364,3899.9183,-21.45,96.676170962954
1094,L,1365,3910.9183,-21.45,94.6904145711967
1095,L,1366,3921.9183,-21.45,92.7325318769938
1096,L,1367,3932.9183,-21.45,90.8025107385354
1097,L,1368,3944.9183,-21.45,88.7287950623893
1098,L,1369,3956.9183,-21.45,86.7580051409927
1099,L,1370,3967.9183,-21.45,84.9805096743538
1100,L,1371,3978.9183,-21.45,83.23080124544481
1101,L,1372,3989.9183,-21.45,81.50886900156429
1102,L,1373,4001.9183,-21.45,79.6620635437873
1103,L,1374,4013.9183,-21.45,77.9180871777079
1104,L,1375,4024.9183,-21.45,76.34842216501761
1105,L,1376,4035.9183,-21.45,74.80646710888
1106,L,1377,4046.9183,-21.45,73.2922124457768
1107,L,1378,4058.9183,-21.45,71.6718794209623
1108,L,1379,4070.9183,-21.45,70.1675125777178
1109,L,1380,4081.9183,-21.45,68.8174137834608
1110,L,1381,4092.9183,-21.45,67.4949538021996
1111,L,1382,4103.918299999999,-21.45,66.2001244316426
1112,L,1383,4115.918299999999,-21.45,64.8190864659848
1113,L,1384,4127.918299999999,-21.45,63.5407145166662
1114,L,1385,4138.918299999999,-21.45,62.3977163775644
1115,L,1386,4149.918299999999,-21.45,61.2822997094287
1116,L,1387,4160.918299999999,-21.45,60.1944575945539
1117,L,1388,4172.918299999999,-21.45,59.039161482360896
1118,L,1389,4183.909,-21.45,58.0737473016289
1119,L,1390,4195.909,-21.45,57.0510734630995
1120,L,1391,4207.909,-21.45,56.0611670432357
1121,L,1392,4218.909,-21.45,55.18253184764259
1122,L,1393,4219.871,-21.45,55.1070000000002
1123,L,1394,4220.909,-21.45,54.8188259624387
1124,L,1395,4270.6089999999995,-21.45,41.3170000000002
1125,R,1,21.01400000000001,21.45,28.152
1126,R,2,42.90899999999999,21.45,54.6538346254469
1127,R,3,43.87099999999998,21.45,55.823
1128,R,4,44.90899999999999,21.45,56.5514072179863
1129,R,5,47.90899999999999,21.45,58.6586687670951
1130,R,6,48.797000000000025,21.45,59.283
1131,R,7,49.90899999999999,21.45,59.628330613014604
1132,R,8,54.90899999999999,21.45,61.1855424683696
1133,R,9,59.90899999999999,21.45,62.781367350293
1134,R,10,65.90899999999999,21.45,64.70742068582899
1135,R,11,68.90899999999999,21.45,65.6747280986877
1136,R,12,71.90899999999999,21.45,66.6450067464816
1137,R,13,77.90899999999999,21.45,68.5942345945447
1138,R,14,83.90899999999999,21.45,70.5554219552633
1139,R,15,86.90899999999999,21.45,71.54030373980261
1140,R,16,89.90899999999999,21.45,72.5281612471869
1141,R,17,95.90899999999999,21.45,74.51446916857729
1142,R,18,101.90899999999999,21.45,76.5127556923962
1143,R,19,104.90899999999999,21.45,77.5161949621883
