mode,frequency_hz,family,span_parity,provisional_label,symmetry_correlation,mass_energy_x_fraction,mass_energy_y_fraction,mass_energy_z_fraction,signal_L,signal_V,signal_T,signal_X,main_span_signal_fraction,half_wave_order,template_mac,sequence_label,half_wave_fingerprint,label
29,0.23112549857627177,EDGE,A,EDGEA,-0.49581450751115774,0.09257912649878161,1.081102773344236e-13,0.9074208735011102,4.152599939528154e-17,8.535550302091998e-17,2.902286436268444e-17,1.774967770045378e-17,5.908198201991951e-15,0,0.0,EDGEA4,EDGEA4,EDGEA4
30,0.23206190853179348,EDGE,A,EDGEA,-0.18756474710066742,0.01881173765021577,0.7966414015328591,0.18454686081692515,7.018958766986945e-17,2.5425803142657367e-16,7.966482804725144e-17,4.707185131722528e-17,5.409682289216265e-15,0,0.0,EDGEA5,EDGEA5,EDGEA5
31,0.24802706483214224,EDGE,S,EDGES,0.4679013510888233,0.11213402727364336,0.3176612954956291,0.5702046772307275,7.291930578855762e-17,4.488144768668609e-17,2.502241961676623e-17,9.133463306656357e-18,1.2791512458145155e-07,0,0.0,EDGES8,EDGES8,EDGES8
32,0.2482377627141667,EDGE,S,EDGES,0.6536015351891322,0.16423416077108777,1.4816946826235306e-13,0.835765839228764,1.314849992350552e-16,1.0722878050979444e-16,3.8610056645809717e-17,2.2813862171459283e-17,7.75187654342001e-15,0,0.0,EDGES9,EDGES9,EDGES9
33,0.24910176195297049,EDGE,S,EDGES,0.5217816053024453,0.048370375309287526,0.7052149822926672,0.24641464239804522,4.2804139608635213e-16,4.157608780573746e-16,5.788411848207125e-17,8.505548853107347e-17,3.56009516628022e-14,0,0.0,EDGES10,EDGES10,EDGES10
34,0.2560441221938926,L,S,LS,0.9865916438425026,6.513142494426457e-05,0.998735812470761,0.001199056104294741,0.011321774718970801,1.1164398543772467e-12,0.0003966037603960197,2.593789655547709e-13,1.0,7,0.9940040266807847,LS4,LS4,LS4
35,0.25818658966566194,T,S,TS,0.9863701357417924,0.05118891408335321,0.02748747538413111,0.9213236105325157,0.0014446439000386606,7.388160053685509e-10,0.010997518709796338,1.7215012748856192e-10,0.999999999998449,7,0.9858793425235427,TS4,TS3,TS4
36,0.25828610518666406,V,S,VS,0.9863680386856832,0.052786107811653826,1.1650685313228802e-13,0.9472138921882297,9.4733102303279e-11,0.011151342938099195,7.286553310004695e-10,0.002598293890142961,0.9999999999983635,7,0.9851016757623131,VS4,VS3,VS4
37,0.28045040439944136,L,S,LS,0.9884765624322494,4.853858649072257e-10,0.9999999994655419,4.907237845751743e-11,2.2070960528601658e-08,3.331237441042461e-08,1.677576984128014e-08,7.548146345009565e-09,1.0,1,0.8042800067725545,LS5,LS1,LS5
38,0.282293603580982,L,A,LA,-0.9954749769023916,3.135985136836653e-11,0.9999999999257937,4.2846488944216324e-11,2.3076219174667628e-08,3.263004655105626e-08,6.181121793613946e-09,1.9892599592083183e-08,1.0,2,0.9388317739531672,LA4,LA1,LA4
39,0.28623406419570274,EDGE,A,EDGEA,-0.9630293949124235,1.7411933286397402e-11,0.999999999941486,4.110199110590612e-11,1.1722974259773188e-15,2.7924783302740794e-16,1.568589887838536e-16,8.187592663268722e-17,3.7201521595094783e-08,0,0.0,EDGEA6,EDGEA6,EDGEA6
40,0.29237312972946905,L,A,LA,-0.9819820309413876,0.00010859754769106557,0.9977352619746991,0.0021561404776098015,0.011265176384647706,1.9135592676247407e-12,0.0005316697693989548,4.330954238175055e-13,1.0,8,0.9915285444610781,LA5,LA4,LA5
41,0.2934286446992523,EDGE,A,EDGEA,-0.9705496226551895,1.2185483622138585e-11,0.9999999999487705,3.904394093549575e-11,4.877656229769308e-15,1.5455088040720112e-15,2.5615676619947626e-15,3.6137192919926313e-16,1.705370721428665e-07,0,0.0,EDGEA7,EDGEA7,EDGEA7
42,0.293907019915582,T,A,TA,-0.9816480727634519,0.04959813829051572,0.02818138824572175,0.9222204734637626,0.0015820316514561451,1.2626346313526785e-09,0.010994678454913654,2.8879482203175443e-10,0.9999999999999959,8,0.9854726425512146,TA4,TA4,TA4
43,0.2939594148550032,V,A,VA,-0.9816515241183643,0.05111018734915952,1.7707142532897808e-13,0.9488898126506634,1.7735430853762999e-10,0.01115254544134022,1.2448278573775228e-09,0.002550896135469893,0.9999999999999961,8,0.9854113942132778,VA4,VA4,VA4
44,0.29733981678886734,L,S,LS,0.9782097292696889,1.4967455861751035e-10,0.9999999998027744,4.755098139382882e-11,2.2990779185192722e-08,3.5749530215970527e-08,8.734978087178707e-09,7.772266652274576e-09,1.0,3,0.7963450988413101,LS6,LS2,LS6
45,0.31160106257211306,L,A,LA,-0.9923358486409259,5.039664746246823e-12,0.9999999999499285,4.5031878464044676e-11,2.2728819512768907e-08,3.46688433970648e-08,5.678249926442995e-09,7.966601109868873e-09,1.0,4,0.9258951677013648,LA6,LA2,LA6
46,0.3168049544652447,EDGE,A,EDGEA,-0.8732687241389817,0.0031885729375501913,0.9700978334536343,0.02671359360881552,1.7259017424200829e-15,6.15280066122306e-17,4.46224342445879e-16,1.8689943441041418e-17,2.0866381717077812e-13,0,0.0,EDGEA8,EDGEA8,EDGEA8
47,0.31810516924804,L,A,LA,-0.9928519907586165,0.004486595371508827,0.9769065122343332,0.01860689239415785,0.006425118242613679,2.331250619171293e-12,0.0016185930555394717,1.5330365851952668e-12,1.0,2,0.90097048140375,LA7,LA1,LA7
