mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
17,0.16590792974776788,5.434789632493347e-11,SIDE,NORTH,0.9999999997597706,2.4022945094970683e-10,SIDE,0.9983253706618594,,0,0.0,True,2.9285140920942943e-28,1.54370178122106e-19,4.0220308365039166e-13,3.984476578348206e-13,3.755425815571044e-15,0.9999999999999994,SIDE_NORTH
18,0.1668560158849614,5.215852440517048e-11,SIDE,NORTH,0.9999999997526663,2.473335122567438e-10,SIDE,0.9983253765545942,,0,0.0,False,3.514340809323978e-28,4.140974208189725e-13,1.5583503136801387e-19,1.518782805717196e-19,3.9567507962942704e-21,0.9999999999999989,SIDE_NORTH
19,0.18145294052751113,2.7207951254004004e-11,MAIN,MAIN,0.9999999999963861,0.9999999999963861,L,0.9858652725641306,S,5,0.9957933460754216,True,0.9858652725605677,1.3073638664359106e-10,0.013146951595271569,0.012717025579922707,0.0004299260153488615,0.9999999999999993,LS3
20,0.1865491740502595,1.5274691262275924e-11,MAIN,MAIN,0.9999999998922707,0.9999999998922707,T,0.9060119916354616,S,5,0.94384444064997,True,0.03657498304305808,7.4276773784399505e-06,0.9060119915378576,0.8986057468893545,0.007406244648503092,1.0000000000000007,TS3
21,0.18677370918342245,1.569397734490478e-11,MAIN,MAIN,0.9999999998824871,0.9999999998824871,V,0.9404708020722788,S,5,0.9388442018714379,False,2.8405301530779026e-07,0.9404708019617618,7.252356232082855e-06,7.1307546605449605e-06,1.2160157153789418e-07,1.0000000000000002,VS3
22,0.1923682089251443,4.815736907177724e-11,SIDE,AUX,0.9996035254624024,4.908115177160975e-13,SIDE,0.9990331709796689,,0,0.0,True,1.4765061695251386e-27,3.5225909364834275e-27,4.745308188314301e-16,4.561223919051045e-16,1.8408426926325595e-17,0.9999999999999999,SIDE_AUX
23,0.21674871790012232,2.992158876396156e-11,MAIN,MAIN,0.9999999999994295,0.9999999999994295,L,0.869049414771018,A,6,0.9891273071839654,True,0.8690494147705213,5.3151900137899165e-09,0.12288659099853665,0.12062640909480223,0.002260181903734425,0.9999999999999998,LA3
24,0.22008456661971035,1.430932669340519e-11,MAIN,MAIN,0.9999999999999286,0.9999999999999286,V,0.9449323973074832,A,6,0.9914430710006771,False,9.61552333352078e-07,0.9449323973074149,4.367629151880793e-06,4.214213001300288e-06,1.534161505805045e-07,0.9999999999999999,VA3
25,0.2203702903110278,1.790767160808475e-11,MAIN,MAIN,0.9999999999998423,0.9999999999998423,T,0.7995805093892948,A,6,0.9913981612945796,True,0.15424927892545984,5.1774595997938194e-06,0.7995805093891685,0.7934145654199258,0.006165943969242607,1.0000000000000009,TA3
26,0.2223466154907681,3.259451720404945e-11,SIDE,AUX,0.8646061931796232,3.3262599791428185e-10,SIDE,0.9990331052681602,,0,0.0,True,9.965851451122837e-27,9.54705171513844e-21,3.2160445082834616e-13,3.18800653004903e-13,2.8037978234432145e-15,0.9999999999999991,SIDE_AUX
27,0.2227828979631311,3.066585294210065e-11,SIDE,AUX,0.8594032267735134,3.406572561583896e-10,SIDE,0.9990330955784442,,0,0.0,False,1.0356480583521269e-26,3.293697825532207e-13,1.2786471112351217e-20,9.952665625820406e-21,2.8338054865308115e-21,1.0000000000000002,SIDE_AUX
28,0.24494485560885726,2.3128224131852358e-11,SIDE,SOUTH,0.9911031081735695,1.7370559184157808e-11,SIDE,0.9990330806451095,,0,0.0,True,2.8507313054835715e-26,3.9766994074705737e-22,1.679551859535903e-14,1.6767556283540747e-14,2.796231181828179e-17,1.0000000000000013,SIDE_SOUTH
29,0.24734977546659498,2.1700434488027002e-11,SIDE,NORTH,0.9999999999989491,1.0510134310621982e-12,SIDE,0.9983254774974787,,0,0.0,True,7.692357961838318e-27,1.8965142610776368e-22,1.7598323769443919e-15,6.579649404543661e-17,1.6940358828989553e-15,0.9999999999999998,SIDE_NORTH
30,0.2475081837339621,2.4426204051249428e-11,SIDE,SOUTH,0.9798447378246222,4.5391694828479066e-11,SIDE,0.9990326540226143,,0,0.0,False,7.993779123707996e-26,4.388918113498914e-14,1.9620587241734407e-20,3.74205703405436e-22,1.924638153832897e-20,1.0,SIDE_SOUTH
31,0.24941342921234846,2.68257529322873e-11,SIDE,SOUTH,0.9905582882029464,2.4832867504225233e-11,SIDE,0.9990330565256025,,0,0.0,True,1.1556138783545914e-24,9.942191468248392e-22,2.4010950932305374e-14,2.3454729687713196e-14,5.562212445921798e-16,1.0000000000000004,SIDE_SOUTH
32,0.24993901476279765,2.0436098535362255e-11,SIDE,NORTH,0.9999999999950424,4.957087626034049e-12,SIDE,0.9983208629591225,,0,0.0,True,9.042676131277164e-26,8.300214261652119e-15,3.9206899124457284e-20,3.901536179552151e-20,1.915373289357755e-22,1.0000000000000002,SIDE_NORTH
33,0.2502236981267644,2.353171253639972e-11,MAIN,MAIN,0.999999999996477,0.999999999996477,L,0.8828941547470093,S,7,0.973253398804631,True,0.8828941547438995,1.1089080147041595e-09,0.11020627979484907,0.10647096023110676,0.0037353195637423037,0.9999999999999998,LS4
34,0.2503309028438298,2.0977599408543033e-11,SIDE,NORTH,0.9999999999948234,5.176137385424282e-12,SIDE,0.9983212799919376,,0,0.0,True,2.3262622525092032e-24,3.731039527778784e-20,8.667002845652391e-15,8.656571689519661e-15,1.0431156132729941e-17,1.0,SIDE_NORTH
35,0.25702981468214847,1.9405488789918065e-11,MAIN,MAIN,0.9999999999684438,0.9999999999684438,V,0.9468698204543294,S,7,0.9841565734008763,False,3.8122506907170725e-07,0.9468698204244513,2.376707758691683e-06,1.931190416242821e-06,4.455173424488625e-07,0.9999999999999997,VS4
36,0.25745312120132835,1.0625992046480504e-11,MAIN,MAIN,0.9999999999733565,0.9999999999733565,T,0.8120757537700412,S,7,0.9862239520609029,True,0.1426907832021533,2.3211904978602615e-06,0.8120757537484051,0.8059428526648791,0.0061329010835260035,1.0000000000000004,TS4
37,0.26076567935840894,1.360229898578042e-11,MAIN,MAIN,0.9999999999986272,0.9999999999986272,SYSY,0.9383687029807701,,0,0.0,False,8.032266291530714e-09,2.7917961310000806e-06,0.060313549454464606,1.963640987101569e-10,0.06031354925810051,1.0000000000000013,SYSY_MIXED
38,0.2792533652631417,1.5325070954526155e-11,MAIN,MAIN,0.9999999999990519,0.9999999999990519,SYSY,0.9294774691147372,,0,0.0,False,1.8597976042770046e-08,1.1209768622669349e-06,0.069581219561755,9.255832293114896e-10,0.06958121863617177,1.000000000000001,SYSY_MIXED
39,0.286257143962145,1.4147148268892365e-11,MAIN,MAIN,0.9999999999993651,0.9999999999993651,L,0.9100327449157667,A,8,0.9702873906328294,True,0.9100327449151902,1.6833186591788425e-09,0.08505318590814222,0.0803593820086,0.004693803899542195,1.000000000000002,LA4
40,0.2927381066457412,1.1109695417624288e-11,MAIN,MAIN,0.9999999999997634,0.9999999999997634,V,0.9482201783794378,A,8,0.984382107005337,False,1.4373048860233404e-05,0.948220178379214,0.00010124228202267281,9.95722505728518e-05,1.670031449821006e-06,1.0000000000000013,VA4
41,0.2928233703529124,7.448141508445095e-12,MAIN,MAIN,0.9999999999998396,0.9999999999998396,T,0.8370079989470034,A,8,0.9852007142693321,True,0.11747299073869324,0.00011421497382670637,0.8370079989468703,0.830204483110391,0.006803515836479352,1.0000000000000002,TA4
42,0.2953260810203115,1.3684600638165887e-11,MAIN,MAIN,0.9999999999978187,0.9999999999978187,SYSY,0.9263243388373654,,0,0.0,False,4.6721615367332884e-08,4.409529628761418e-06,0.07156301259738487,4.260658196866938e-09,0.07156300833672669,1.0000000000000018,SYSY_MIXED
43,0.29735336555417496,1.4666896437670818e-11,SIDE,NORTH,0.9999999999760821,2.391765696952303e-11,SIDE,0.9983197353156946,,0,0.0,False,5.701046430863418e-27,2.292046644737277e-19,4.005111908723296e-14,2.0126846960762772e-21,4.005111707454826e-14,1.000000000000002,SIDE_NORTH
44,0.3166543142795567,1.018287963401953e-11,MAIN,MAIN,0.9999999999990496,0.9999999999990496,L,0.9372286573182456,S,9,0.8681618916317463,True,0.9372286573173557,1.3852846472839511e-10,0.059203509691429027,0.03868968587804642,0.02051382381338261,0.9999999999999989,LS5
45,0.32026172838617345,9.706447256138999e-12,MAIN,MAIN,0.9999999999970995,0.9999999999970995,SYSY,0.9231207100104571,,0,0.0,False,1.3879961511190065e-07,1.9346013206513787e-06,0.07505739819840151,6.930687513099544e-09,0.075057391267714,0.9999999999999998,SYSY_MIXED
46,0.3295348629332545,8.075204695238017e-12,MAIN,MAIN,0.9999999999744021,0.9999999999744021,T,0.8248987664572471,S,9,0.9706945731663693,True,0.13162747293105162,6.842151577734088e-05,0.824898766436131,0.8063110510334045,0.018587715402726575,1.0000000000000002,TS5
47,0.32964667172334355,1.2586932113544575e-11,MAIN,MAIN,0.9999999999815785,0.9999999999815785,V,0.9492372600076793,S,9,0.9784906044486056,True,1.883171748485654e-05,0.9492372599901924,5.523472006450255e-05,5.127762500078355e-05,3.957095063719e-06,1.0,VS5
48,0.32978661612078575,1.201636293517741e-11,MAIN,MAIN,0.9999999999932198,0.9999999999932198,L,0.7946098511934209,S,1,0.3392908919819905,True,0.794609851188033,3.1649785472706524e-06,0.19682610972200842,0.10801147070875022,0.08881463901325821,1.0,LS6
49,0.3416731810809098,1.0190775871724187e-11,MAIN,MAIN,0.9999999999992012,0.9999999999992012,L,0.9091821740841498,A,10,0.640251414141399,True,0.9091821740834239,1.103670654805262e-10,0.08681258306047457,0.0422712135014424,0.04454136955903216,0.9999999999999991,LA5
