passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,rope_index,ansys_node,ansys_x_mm,ansys_y_mm,ansys_z_mm,node_family,node_source,mct_combined_fz_kn_per_catwalk,applied_fz_n_at_node,combined_weight_kn_at_node,combined_mass_tonne_at_node,mass21_element_id,mass21_real_id,incident_link10_count,incident_beam4_count,incident_total_element_count,component_ids_in_combined_mass
2,H02,north_side,6,1,bottom,81,3,1537,-23600.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_03,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,501459,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,4,2265,-23340.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_04,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,502152,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,5,2993,-23080.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_05,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,502845,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,6,3721,-22820.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_06,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,503538,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,7,4449,-22560.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_07,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,504231,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,8,5177,-22300.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_08,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,504924,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,9,5905,-20600.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_09,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,505617,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,10,6633,-20340.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_10,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,506310,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,11,7361,-20080.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_11,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,507003,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,12,8089,-19820.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_12,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,507696,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,13,8817,-19560.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_13,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,508389,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,14,9545,-19300.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_14,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,509082,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,15,10273,-19040.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_15,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,509775,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,16,11001,-18780.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_16,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,510468,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,gate,1033,1,11681,-23660.0,374918.30000000005,190318.383196477,CW1_GANTRY_PHI54_01,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511093,200006,2,0,2,cross_passage_tri_gate;guide_roller
