passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,component_id,component_name,authority_category,authority,quantity_at_station_per_catwalk,unit_weight_kn,weight_kn_per_catwalk_station,mass_tonne_per_catwalk_station,original_distribution_node_count,original_weight_kn_per_node,original_mass_tonne_per_node,original_ansys_nodes,original_mass21_elements,relocation_note
3,H03,north_side,9,1,bottom,120,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,120;848;1576;2304;3032;3760;4488;5216;5944;6672;7400;8128;8856;9584;10312;11040,500112;500805;501498;502191;502884;503577;504270;504963;505656;506349;507042;507735;508428;509121;509814;510507,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,1,bottom,120,large_crossbeam,大横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.32,1.32,0.1346114623699776,16,0.0825,0.0084132163981236,120;848;1576;2304;3032;3760;4488;5216;5944;6672;7400;8128;8856;9584;10312;11040,500112;500805;501498;502191;502884;503577;504270;504963;505656;506349;507042;507735;508428;509121;509814;510507,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,1,gate,1048,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,11696;12091;12486;12881;13276;13671,511096;511167;511238;511309;511380;511451,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,1,gate,1048,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,11696;12091;12486;12881;13276;13671,511096;511167;511238;511309;511380;511451,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,bottom,120,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,14138;14866;15594;16322;17050;17778;18506;19234;19962;20690;21418;22146;22874;23602;24330;25058,511626;512319;513012;513705;514398;515091;515784;516477;517170;517863;518556;519249;519942;520635;521328;522021,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,bottom,120,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,14138;14866;15594;16322;17050;17778;18506;19234;19962;20690;21418;22146;22874;23602;24330;25058,511626;512319;513012;513705;514398;515091;515784;516477;517170;517863;518556;519249;519942;520635;521328;522021,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,bottom,120,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,14138;14866;15594;16322;17050;17778;18506;19234;19962;20690;21418;22146;22874;23602;24330;25058,511626;512319;513012;513705;514398;515091;515784;516477;517170;517863;518556;519249;519942;520635;521328;522021,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,bottom,120,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,14138;14866;15594;16322;17050;17778;18506;19234;19962;20690;21418;22146;22874;23602;24330;25058,511626;512319;513012;513705;514398;515091;515784;516477;517170;517863;518556;519249;519942;520635;521328;522021,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,bottom,120,large_crossbeam,大横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.32,1.32,0.1346114623699776,16,0.0825,0.0084132163981236,14138;14866;15594;16322;17050;17778;18506;19234;19962;20690;21418;22146;22874;23602;24330;25058,511626;512319;513012;513705;514398;515091;515784;516477;517170;517863;518556;519249;519942;520635;521328;522021,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,gate,1048,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,25714;26109;26504;26899;27294;27689,522610;522681;522752;522823;522894;522965,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,2,gate,1048,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,25714;26109;26504;26899;27294;27689,522610;522681;522752;522823;522894;522965,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,bottom,180,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,180;908;1636;2364;3092;3820;4548;5276;6004;6732;7460;8188;8916;9644;10372;11100,500164;500857;501550;502243;502936;503629;504322;505015;505708;506401;507094;507787;508480;509173;509866;510559,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,bottom,180,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,180;908;1636;2364;3092;3820;4548;5276;6004;6732;7460;8188;8916;9644;10372;11100,500164;500857;501550;502243;502936;503629;504322;505015;505708;506401;507094;507787;508480;509173;509866;510559,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,bottom,180,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,180;908;1636;2364;3092;3820;4548;5276;6004;6732;7460;8188;8916;9644;10372;11100,500164;500857;501550;502243;502936;503629;504322;505015;505708;506401;507094;507787;508480;509173;509866;510559,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,bottom,180,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,180;908;1636;2364;3092;3820;4548;5276;6004;6732;7460;8188;8916;9644;10372;11100,500164;500857;501550;502243;502936;503629;504322;505015;505708;506401;507094;507787;508480;509173;509866;510559,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,bottom,180,large_crossbeam,大横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.32,1.32,0.1346114623699776,16,0.0825,0.0084132163981236,180;908;1636;2364;3092;3820;4548;5276;6004;6732;7460;8188;8916;9644;10372;11100,500164;500857;501550;502243;502936;503629;504322;505015;505708;506401;507094;507787;508480;509173;509866;510559,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,gate,1083,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,11731;12126;12521;12916;13311;13706,511101;511172;511243;511314;511385;511456,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,1,gate,1083,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,11731;12126;12521;12916;13311;13706,511101;511172;511243;511314;511385;511456,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,bottom,180,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,14198;14926;15654;16382;17110;17838;18566;19294;20022;20750;21478;22206;22934;23662;24390;25118,511678;512371;513064;513757;514450;515143;515836;516529;517222;517915;518608;519301;519994;520687;521380;522073,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,bottom,180,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,14198;14926;15654;16382;17110;17838;18566;19294;20022;20750;21478;22206;22934;23662;24390;25118,511678;512371;513064;513757;514450;515143;515836;516529;517222;517915;518608;519301;519994;520687;521380;522073,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,bottom,180,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,14198;14926;15654;16382;17110;17838;18566;19294;20022;20750;21478;22206;22934;23662;24390;25118,511678;512371;513064;513757;514450;515143;515836;516529;517222;517915;518608;519301;519994;520687;521380;522073,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,bottom,180,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,14198;14926;15654;16382;17110;17838;18566;19294;20022;20750;21478;22206;22934;23662;24390;25118,511678;512371;513064;513757;514450;515143;515836;516529;517222;517915;518608;519301;519994;520687;521380;522073,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,bottom,180,large_crossbeam,大横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.32,1.32,0.1346114623699776,16,0.0825,0.0084132163981236,14198;14926;15654;16382;17110;17838;18566;19294;20022;20750;21478;22206;22934;23662;24390;25118,511678;512371;513064;513757;514450;515143;515836;516529;517222;517915;518608;519301;519994;520687;521380;522073,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,gate,1083,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,25749;26144;26539;26934;27329;27724,522615;522686;522757;522828;522899;522970,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
4,H04,main_span,14,2,gate,1083,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,25749;26144;26539;26934;27329;27724,522615;522686;522757;522828;522899;522970,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
5,H05,main_span,17,1,bottom,201,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,201;929;1657;2385;3113;3841;4569;5297;6025;6753;7481;8209;8937;9665;10393;11121,500185;500878;501571;502264;502957;503650;504343;505036;505729;506422;507115;507808;508501;509194;509887;510580,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
5,H05,main_span,17,1,bottom,201,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,201;929;1657;2385;3113;3841;4569;5297;6025;6753;7481;8209;8937;9665;10393;11121,500185;500878;501571;502264;502957;503650;504343;505036;505729;506422;507115;507808;508501;509194;509887;510580,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
5,H05,main_span,17,1,bottom,201,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,201;929;1657;2385;3113;3841;4569;5297;6025;6753;7481;8209;8937;9665;10393;11121,500185;500878;501571;502264;502957;503650;504343;505036;505729;506422;507115;507808;508501;509194;509887;510580,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
