mode,node,dof,frequency_hz,mass,stiffness
41,14,2,2.934286446993e-01,1.000000000000e+00,3.399106344196e+00
42,14,3,2.939070199156e-01,1.000000000000e+00,3.410198469871e+00
43,15,1,2.939594148550e-01,1.000000000000e+00,3.411414453543e+00
44,15,2,2.973398167889e-01,1.000000000000e+00,3.490325062136e+00
45,15,3,3.116010625721e-01,1.000000000000e+00,3.833165729244e+00
46,16,1,3.168049544652e-01,1.000000000000e+00,3.962266352040e+00
47,16,2,3.181051692480e-01,1.000000000000e+00,3.994856556731e+00
48,16,3,3.183527185486e-01,1.000000000000e+00,4.001076567168e+00
49,17,1,3.203054326522e-01,1.000000000000e+00,4.050310764182e+00
50,17,2,3.249276067720e-01,1.000000000000e+00,4.168050385802e+00
51,17,3,3.280043278959e-01,1.000000000000e+00,4.247358163450e+00
52,18,1,3.293246651310e-01,1.000000000000e+00,4.281621322012e+00
53,18,2,3.316892076635e-01,1.000000000000e+00,4.343325907790e+00
54,18,3,3.317445465752e-01,1.000000000000e+00,4.344775306647e+00
55,19,1,3.317816901409e-01,1.000000000000e+00,4.345748281083e+00
56,19,2,3.321517973915e-01,1.000000000000e+00,4.355449178323e+00
57,19,3,3.332806781561e-01,1.000000000000e+00,4.385105125668e+00
58,20,1,3.354323906358e-01,1.000000000000e+00,4.441909762318e+00
59,20,2,3.457813308384e-01,1.000000000000e+00,4.720226292597e+00
60,20,3,3.461515987668e-01,1.000000000000e+00,4.730340685786e+00
61,21,1,3.465988268243e-01,1.000000000000e+00,4.742571787555e+00
62,21,2,3.472043732308e-01,1.000000000000e+00,4.759157856509e+00
63,21,3,3.475188191753e-01,1.000000000000e+00,4.767782030946e+00
64,22,1,3.486682474679e-01,1.000000000000e+00,4.799373336241e+00
65,22,2,3.505713953366e-01,1.000000000000e+00,4.851909494546e+00
66,22,3,3.596829122729e-01,1.000000000000e+00,5.107393843238e+00
67,23,1,3.646777362316e-01,1.000000000000e+00,5.250228886881e+00
68,23,2,3.668426802332e-01,1.000000000000e+00,5.312750885965e+00
69,23,3,3.669280862881e-01,1.000000000000e+00,5.315224937849e+00
70,24,1,3.670626226719e-01,1.000000000000e+00,5.319123370623e+00
71,24,2,3.692776469020e-01,1.000000000000e+00,5.383513125265e+00
72,24,3,3.710198058811e-01,1.000000000000e+00,5.434429066362e+00
73,25,1,3.713491297602e-01,1.000000000000e+00,5.444080742698e+00
74,25,2,3.717690964908e-01,1.000000000000e+00,5.456401361969e+00
75,25,3,3.718699924839e-01,1.000000000000e+00,5.459363435709e+00
76,26,1,3.760774593646e-01,1.000000000000e+00,5.583600599905e+00
77,26,2,3.902683281917e-01,1.000000000000e+00,6.012932834548e+00
78,26,3,3.937915710171e-01,1.000000000000e+00,6.121989334490e+00
79,27,1,3.987616180296e-01,1.000000000000e+00,6.277495871936e+00
80,27,2,4.008378318596e-01,1.000000000000e+00,6.343035549884e+00
81,27,3,4.026337645257e-01,1.000000000000e+00,6.400002151904e+00
82,28,1,4.027361887598e-01,1.000000000000e+00,6.403258702910e+00
83,28,2,4.156692792538e-01,1.000000000000e+00,6.821118486942e+00
84,28,3,4.175484149783e-01,1.000000000000e+00,6.882930995610e+00
85,29,1,4.274905259866e-01,1.000000000000e+00,7.214607774556e+00
86,29,2,4.334834169388e-01,1.000000000000e+00,7.418305472002e+00
