mode,q_ccx,q_matrix_reference,q_package,generalized_residual_N
79,2.547520000000e+00,2.547520077363e+00,2.547520077363e+00,-4.856456676805e-07
80,-4.651521000000e+01,-4.651520600260e+01,-4.651520600260e+01,-2.535563538686e-05
81,2.511365000000e+00,2.511365024301e+00,2.511365024301e+00,-1.555234767636e-07
82,9.332789000000e+00,9.332788688562e+00,9.332788688562e+00,1.994217505796e-06
83,-7.296822000000e-05,-7.296821870955e-05,-7.296821870954e-05,-8.802322152418e-12
84,1.320934000000e-01,1.320933780191e-01,1.320933780191e-01,1.512930551950e-07
85,-5.661144000000e-13,-5.661143523286e-13,-5.661143523286e-13,-3.439301278645e-19
86,-4.043148000000e-13,-4.043147584546e-13,-4.043147584546e-13,-3.081965328630e-19
87,-1.649486000000e+01,-1.649485650356e+01,-1.649485650355e+01,-2.632507336386e-05
88,5.250346000000e+00,5.250346467077e+00,5.250346467076e+00,-3.524372552022e-06
89,1.031520000000e-01,1.031520082765e-01,1.031520082765e-01,-6.306188304883e-08
90,-1.718716000000e-02,-1.718716405981e-02,-1.718716405981e-02,3.094146799887e-08
91,-3.259102000000e-13,-3.259101645724e-13,-3.259101645724e-13,-2.705848751716e-19
92,1.791612000000e-06,1.791612271461e-06,1.791612271461e-06,-2.112590743685e-12
93,-3.140264000000e-13,-3.140264483448e-13,-3.140264483449e-13,3.890781295660e-19
94,1.609244000000e-01,1.609244274439e-01,1.609244274439e-01,-2.321208316669e-07
95,3.265714000000e-05,3.265714051867e-05,3.265714051868e-05,-4.420950367942e-12
96,2.851386000000e-14,2.851385819065e-14,2.851385819065e-14,1.546558866337e-20
97,1.266293000000e+00,1.266292841905e+00,1.266292841905e+00,1.405181922820e-06
98,-2.923568000000e-13,-2.923568400588e-13,-2.923568400589e-13,3.586340205591e-19
99,-7.268999000000e-13,-7.268999431869e-13,-7.268999431870e-13,3.866696146902e-19
100,-1.444074000000e-14,-1.444073655341e-14,-1.444073655341e-14,-3.091339554365e-20
101,-3.183511000000e-12,-3.183510786580e-12,-3.183510786580e-12,-1.934877225057e-18
102,-8.294658000000e-05,-8.294658295101e-05,-8.294658295101e-05,2.688734304646e-11
103,-4.536376000000e-11,-4.536375868946e-11,-4.536375868946e-11,-1.195025799193e-17
104,-1.533452000000e+01,-1.533451779341e+01,-1.533451779342e+01,-2.012611395230e-05
105,-1.158519000000e-11,-1.158519345670e-11,-1.158519345670e-11,3.154309527830e-17
106,1.017526000000e+00,1.017526341174e+00,1.017526341174e+00,-3.120145214197e-06
107,-1.226890000000e+01,-1.226890429135e+01,-1.226890429135e+01,3.934828473007e-05
108,3.449038000000e-12,3.449037554166e-12,3.449037554166e-12,4.091756362387e-18
109,-8.400715000000e-13,-8.400715196468e-13,-8.400715196468e-13,1.803271846097e-19
110,2.626878000000e-13,2.626878373008e-13,2.626878373008e-13,-3.459769705383e-19
111,3.051886000000e-01,3.051886131043e-01,3.051886131043e-01,-1.242789551270e-07
112,-2.901151000000e-13,-2.901150831351e-13,-2.901150831352e-13,-1.603773593224e-19
113,-1.863444000000e-13,-1.863443797298e-13,-1.863443797298e-13,-1.968707534419e-19
114,1.152188000000e-13,1.152187596259e-13,1.152187596259e-13,3.998005984084e-19
115,-1.750343000000e-05,-1.750343347776e-05,-1.750343347776e-05,3.451038150452e-11
116,-2.148308000000e-05,-2.148307697434e-05,-2.148307697434e-05,-3.085083113996e-11
117,-2.212585000000e-05,-2.212585410717e-05,-2.212585410717e-05,4.189384359169e-11
118,2.988111000000e-13,2.988110962879e-13,2.988110962879e-13,3.818542699959e-20
119,4.909418000000e+00,4.909417903991e+00,4.909417903991e+00,9.977857260424e-07
120,-1.109092000000e-13,-1.109092099714e-13,-1.109092099715e-13,1.041266050126e-19
121,-1.700374000000e-12,-1.700373804367e-12,-1.700373804367e-12,-2.043561758823e-18
122,-2.929217000000e-05,-2.929217437290e-05,-2.929217437290e-05,4.570167578795e-11
123,3.191949000000e-05,3.191949323822e-05,3.191949323822e-05,-3.384380677183e-11
124,1.057732000000e-12,1.057731690337e-12,1.057731690337e-12,3.250905698408e-18
125,7.368485000000e-13,7.368485299421e-13,7.368485299421e-13,-3.143917101386e-19
126,1.981435000000e-05,1.981434766044e-05,1.981434766043e-05,2.478838895216e-11
127,-2.172468000000e-05,-2.172467520787e-05,-2.172467520787e-05,-5.077501217870e-11
128,-5.648130000000e-13,-5.648130008975e-13,-5.648130008975e-13,9.512739410867e-21
129,-1.033891000000e-13,-1.033891266149e-13,-1.033891266149e-13,2.822060933191e-19
130,1.910568000000e-05,1.910568430857e-05,1.910568430858e-05,-4.616143808888e-11
131,-2.334997000000e-05,-2.334997485317e-05,-2.334997485317e-05,5.199699693167e-11
132,8.933805000000e-15,8.933805162578e-15,8.933805162578e-15,-1.748428205375e-21
133,2.832138000000e-13,2.832138064670e-13,2.832138064670e-13,-7.024643943999e-20
134,1.912428000000e-13,1.912427858141e-13,1.912427858141e-13,1.541038587863e-19
135,-6.684291000000e-13,-6.684290902075e-13,-6.684290902075e-13,-1.071251448306e-19
136,-1.075122000000e-02,-1.075122268330e-02,-1.075122268330e-02,2.946494102873e-08
137,3.643435000000e-13,3.643435334544e-13,3.643435334544e-13,-3.685268918706e-19
138,2.976962000000e-07,2.976961931564e-07,2.976961931564e-07,7.661641452701e-14
139,9.347132000000e-03,9.347132480750e-03,9.347132480747e-03,-5.429204308349e-09
140,-4.092527000000e-03,-4.092527464842e-03,-4.092527464842e-03,5.249577980648e-09
141,2.808190000000e-13,2.808190024149e-13,2.808190024148e-13,-2.776569131720e-20
142,2.456210000000e+01,2.456210004887e+01,2.456210004887e+01,-5.717934072891e-07
143,3.103751000000e-01,3.103750799066e-01,3.103750799066e-01,2.356020263328e-07
144,9.358597000000e-01,9.358596885910e-01,9.358596885907e-01,1.359285874969e-07
145,1.285284000000e+00,1.285284200806e+00,1.285284200807e+00,-2.393144260537e-06
146,1.532380000000e-15,1.532380422289e-15,1.532380422289e-15,-5.057862413228e-21
147,7.226006000000e-14,7.226006152944e-14,7.226006152944e-14,-1.839403810151e-20
148,1.920680000000e-05,1.920680325182e-05,1.920680325181e-05,-4.174836583208e-11
149,-1.576401000000e-05,-1.576401283952e-05,-1.576401283952e-05,3.645571946534e-11
150,1.988859000000e-14,1.988859011834e-14,1.988859011834e-14,-1.566648980123e-21
