mode,frequency_hz,q_ref_max_abs,q_ccx_max_abs,q_max_abs_error,v_ref_max_abs,v_max_abs_error
19,1.673853602706e-01,5.700030891394e-13,7.054942000000e-13,1.863971655084e-13,6.802607095043e-13,9.096301389265e-14
20,1.831318313250e-01,4.953281920581e+01,4.953282000000e+01,4.959972731200e-06,5.477628272213e+01,4.969877728911e-06
21,1.870471324636e-01,9.009211592479e+00,9.009212000000e+00,4.984458579216e-07,7.988429771028e+00,4.972804663606e-07
22,1.873136351418e-01,7.327489520671e+01,7.327490000000e+01,4.904002544492e-06,7.835199291631e+01,4.936283133361e-06
23,1.964456105800e-01,7.992005779454e-13,8.690345000000e-13,9.487540929343e-14,1.498866580106e-12,5.244487992686e-14
24,1.973690722008e-01,2.777685569194e-12,2.816356000000e-12,1.238962840146e-13,2.439760682466e-12,1.725765739180e-13
25,2.200177302126e-01,1.146852434916e+02,1.146852000000e+02,4.992914877278e-05,1.067817132072e+02,4.906516184633e-05
26,2.208493471616e-01,1.543520697024e+01,1.543521000000e+01,4.809285487184e-06,1.442900275882e+01,4.968037913500e-06
27,2.208764603368e-01,2.066674447608e+01,2.066674000000e+01,4.679280387165e-06,3.602352652385e+01,4.978942758527e-06
28,2.310094629291e-01,1.519262946840e-12,1.469469000000e-12,5.191755588645e-14,1.364664111013e-12,3.820728960076e-14
29,2.311254985763e-01,3.310126387288e-12,3.280829000000e-12,7.474569057211e-14,2.926689185670e-12,3.607558130099e-14
30,2.320619085318e-01,1.062337713913e-12,1.037499000000e-12,4.697686499053e-14,1.401896145910e-12,9.450217029890e-14
31,2.480270648321e-01,2.978800334399e-12,2.960034000000e-12,1.501714116426e-13,3.955562643204e-12,1.677457273505e-13
32,2.482377627142e-01,1.314915486335e-12,1.308225000000e-12,1.323495865484e-13,1.416312146309e-12,9.940998458202e-14
33,2.491017619530e-01,6.965585728651e-12,7.017614000000e-12,1.543810966964e-13,8.832785876154e-12,1.854965944526e-13
34,2.560441221939e-01,4.576775101336e+01,4.576775000000e+01,4.982697301870e-06,5.817602703016e+01,4.657921817142e-06
35,2.581865896657e-01,5.523889861471e+00,5.523890000000e+00,4.938431263923e-07,8.400630015819e+00,4.854616011407e-07
36,2.582861051867e-01,1.031451104396e+01,1.031451000000e+01,1.043955382585e-06,1.713975868147e+01,4.905832962976e-06
37,2.804504043994e-01,1.683695457076e-04,1.683695000000e-04,4.570761220142e-11,2.677707345178e-04,4.957407374146e-11
38,2.822936035810e-01,9.237705362054e-05,9.237705000000e-05,4.900980662970e-12,8.725057908909e-05,4.923404261050e-12
39,2.862340641957e-01,1.246263017002e-12,1.251669000000e-12,8.093487338303e-14,1.692986526914e-12,9.080172378357e-14
40,2.923731297295e-01,4.612417916220e+01,4.612418000000e+01,4.950390406933e-06,6.805105017934e+01,4.914548345170e-06
41,2.934286446993e-01,4.817893840289e-12,4.818774000000e-12,1.882803197066e-14,6.589325869666e-12,2.398175066982e-14
42,2.939070199156e-01,5.777610641951e+00,5.777611000000e+00,4.761680498788e-07,8.852611207581e+00,4.934157868952e-07
