mode,freq_Hz,uxavg_s1,uxavg_s2,uxavg_s3,uxavg_s4,uxavg_s5,uzavg_s1,uzavg_s2,uzavg_s3,uzavg_s4,uzavg_s5,duz_s1,duz_s2,duz_s3,duz_s4,duz_s5,rms_uxavg,rms_uzavg,rms_duz,share_ux,share_uz,share_duz,span12,span23,span34,span45,sene
18,1.6746785476594839e-01,6.7652193903787077e-17,-3.7699242116176684e-17,-9.6506151451072708e-18,6.7715812357710147e-17,4.6387541687921083e-05,-1.4805215571308087e-16,3.6885270455459678e-16,-9.7067095128297920e-16,1.2385887328109848e-16,1.4723736926136502e-04,-6.8146051458043902e-15,-1.3574285393145210e-17,-3.4017800950859369e-16,-6.8195047295919710e-16,2.3576044460105758e-03,2.0745139304659376e-05,6.5846553299330038e-05,1.0543527610670761e-03,1.5224252954078416e-03,1.5338022631712996e-02,9.8313955207287906e-01,2.8861813310198151e-12,8.8569154276751554e-13,8.8516054459710065e-13,9.9999999999534295e-01,NOT_STORED
19,1.6803083266108099e-01,-2.9441646482295906e-03,-1.2701463707698930e-18,3.2811670786886591e-18,2.7321180916456096e-17,-2.9350340351778616e-17,6.5189082499292478e-03,-1.5986025831503853e-17,2.6031698671183801e-17,-6.0767555484190531e-17,-1.0075371024552005e-16,1.0445844307924855e-01,6.1315768212199083e-17,5.1819896777820241e-17,9.3040640529919347e-17,3.5850719322858054e-16,1.3166704580786241e-03,2.9153443971851973e-03,4.6715235909798446e-02,3.1190828593443236e-03,1.5291583552350975e-02,9.8158933358830458e-01,9.9999999999999312e-01,9.5918160808073795e-16,1.6927404320428584e-15,4.2309577044994891e-15,NOT_STORED
20,1.8337014708675231e-01,-8.8304102629842821e-17,-1.0829013402614304e-05,1.4412419424827141e-07,1.7328402154918732e-05,-5.7854717089511206e-17,2.2064751831817017e-16,-1.3163194024299419e-04,3.1303134184300948e-04,-1.6222909111885363e-04,-5.7154582770924543e-17,3.7453019569319624e-16,-1.4258174100531696e-03,4.8306022314928646e-03,-1.7602769762946947e-03,-1.3960578847879333e-16,9.1385099912399290e-06,1.6830559507836901e-04,2.3860531527603386e-03,5.7526389161814757e-05,1.9512523556020157e-02,9.8042995005481803e-01,1.0731645901126444e-01,3.7612443419575864e-01,3.8406648263210519e-01,1.3249262416087165e-01,NOT_STORED
21,1.8753983845295411e-01,1.0427340570655537e-15,-6.9431735455070549e-04,1.8080167824410296e-05,1.2297840194322391e-03,2.3945699685125903e-16,-2.3941920780562002e-15,-1.1790571249188975e-02,3.4221757660876803e-02,-1.4323156789959660e-02,9.3142165484130540e-16,-5.2338108041752400e-16,4.0897369387869059e-05,-1.4121000117064963e-04,4.9583564303399760e-05,5.3645857911614121e-16,6.3162840590805648e-04,1.7408613317618088e-02,6.9384997085093349e-05,1.3146855439136336e-03,9.9868134830057431e-01,3.9661555120307039e-06,1.1869376681928384e-01,3.6381569858902674e-01,3.7302141763296282e-01,1.4446911695872661e-01,NOT_STORED
22,1.9096120816474249e-01,1.5893394125554952e-15,-7.2100344273558355e-05,5.4861605411935978e-07,1.3179866413989404e-04,7.6892059782272297e-16,-3.6293729010223199e-15,-1.3649170114069702e-03,4.2461635303359356e-03,-1.6351550452292545e-03,2.5003214999185573e-15,7.0797014405963410e-15,-2.4951625749324483e-02,6.7905215757885801e-02,-3.0027426002554730e-02,5.4825800385892288e-16,6.7185784944437561e-05,2.1244592345499012e-03,3.5029553999439605e-02,1.4500942900354032e-05,1.4499006864748422e-02,9.8548649219235129e-01,1.2364775630540016e-01,3.5906945264827012e-01,3.6848663506409374e-01,1.4879615598223594e-01,NOT_STORED
23,1.9753324352927429e-01,3.7251716567389700e-15,2.0552259977792165e-15,2.1929748836426052e-16,-6.7545221077880456e-16,6.3876454371947118e-03,-8.4851254243563667e-15,8.6924672848180858e-15,-1.2075243868285675e-14,3.3244361826078944e-15,2.4577576012724617e-02,-1.8048002642547509e-14,1.0090230350959036e-15,1.8002737951997329e-14,-3.0076325428251951e-14,-1.1352475194517306e-04,2.8566418827467481e-03,1.0991426137324097e-02,5.0769812495641691e-05,6.3272427174630330e-02,9.3672257646190971e-01,4.9963634599265844e-06,6.1932330945132409e-13,6.8989065041043938e-13,8.4874532539478641e-13,9.9999999999784195e-01,NOT_STORED
24,2.0018392673971450e-01,4.6267862164451051e-15,-1.0543402972335090e-15,-6.2982048857874595e-16,-7.6359238861644478e-16,7.9080887296599294e-04,-1.0569157200116331e-14,-3.2744117354214083e-15,-3.3384803251025130e-16,2.3697283485352717e-15,2.9953179295314838e-03,-2.6088169750082974e-15,-1.3729167552964887e-15,8.9558776087244556e-15,-7.8054612746990379e-15,4.7568794678095570e-02,3.5366047943239119e-04,1.3395469009312645e-03,2.1273411701590385e-02,1.0870576319353901e-03,1.5595358216323468e-02,9.8331758415174109e-01,5.0569786646114090e-13,2.3901191678917382e-13,2.7016431288641436e-13,9.9999999999898515e-01,NOT_STORED
25,2.2027408251321770e-01,5.2024751100882863e-14,-1.0441238984385518e-04,4.3320054376892134e-05,-1.0947781794532234e-04,1.1413084186987350e-14,-1.1911716076157895e-13,-6.3343031085839560e-04,3.4195564668110617e-05,6.6082113186890275e-04,3.8212018566524711e-14,1.2680739568603809e-13,-7.9613091857833398e-03,4.8496945787362424e-04,7.9692877268154917e-03,4.5691177283245344e-15,7.0376085265083085e-05,4.0965543171832405e-04,5.0423642510132177e-03,7.5856869490239294e-04,2.5702900855368953e-02,9.7353853044972871e-01,2.4950138957287205e-01,2.4997549336480809e-01,2.5049811492197660e-01,2.5002500214034318e-01,NOT_STORED

subspace_M3_M4,n3,n4,dot,cos_reported_vec,cos_commensurate_sumdiff,a4_on_e1,a4_perp,plane_share_ux,plane_share_uz,plane_share_duz,sene
