      4.,  0.7379958378051341E-01,      2.,      28469.,  0.7013530352219435E-02, -0.2087131109871086E-01,  0.2159378021282530E-01
      4.,  0.7379958378051341E-01,      3.,      28660.,  0.5516100617106542E-02, -0.4241020914555619E-03,  0.4412624074040022E-03
      4.,  0.7379958378051341E-01,      4.,        374.,  0.7014115138629299E-02,  0.2086587721774563E-01, -0.2160480578392035E-01
      4.,  0.7379958378051341E-01,      5.,      29176., -0.9769088736558827E-17,  0.1999079867483613E-15, -0.2927582837159965E-16
      4.,  0.7379958378051341E-01,      6.,      14098.,  0.7248215865648094E-17,  0.1188005342876144E-15, -0.2017119981352861E-16
      4.,  0.7379958378051341E-01,      7.,      51317., -0.5442289016804079E-02, -0.2084697546612930E-01, -0.1688714884533079E-01
      4.,  0.7379958378051341E-01,      8.,      51508., -0.4289242145786970E-02, -0.4235542481848835E-03, -0.3446137519836102E-03
      4.,  0.7379958378051341E-01,      9.,      14392., -0.5444953265972603E-02,  0.2084211397012569E-01,  0.1691034846343513E-01
      4.,  0.7379958378051341E-01,     10.,      52024.,  0.2394184254696961E-17,  0.2005992469484431E-15,  0.2257067060526821E-17
      5.,  0.1012865182550861E+00,      1.,         80.,  0.9126042385787042E-17,  0.1114883193200542E-15, -0.2026084790670798E-16
      5.,  0.1012865182550861E+00,      2.,      28469., -0.4613997425624721E-02, -0.4743395537668203E-06, -0.5778796164220369E-02
      5.,  0.1012865182550861E+00,      3.,      28660.,  0.1359691111410219E-04,  0.4626206251708113E-05,  0.4100720872909480E-01
      5.,  0.1012865182550861E+00,      4.,        374.,  0.4354707256612122E-02, -0.2697782101915419E-06, -0.4309694295338009E-02
      5.,  0.1012865182550861E+00,      5.,      29176.,  0.3018173722075913E-16, -0.1654118587298939E-16,  0.5049074325112540E-16
      5.,  0.1012865182550861E+00,      6.,      14098., -0.1848728312484645E-17,  0.1109037997212265E-15,  0.6073660370829919E-17
      5.,  0.1012865182550861E+00,      7.,      51317., -0.4621547529214799E-02,  0.4917574173872903E-06, -0.5784628458973277E-02
      5.,  0.1012865182550861E+00,      8.,      51508.,  0.1348227796556806E-04, -0.4633029746828807E-05,  0.4105777247428642E-01
      5.,  0.1012865182550861E+00,      9.,      14392.,  0.4361851844626743E-02,  0.3053412478881249E-06, -0.4313460847310229E-02
      5.,  0.1012865182550861E+00,     10.,      52024., -0.8168523759847213E-17, -0.1056302090710524E-16, -0.2221892611749199E-16
      6.,  0.1034122743116327E+00,      1.,         80.,  0.6299420876027841E-17,  0.1877678743221037E-15, -0.1423963218220667E-16
      6.,  0.1034122743116327E+00,      2.,      28469., -0.5111615999167847E-02, -0.1272855814525748E-02, -0.6046013608951729E-02
      6.,  0.1034122743116327E+00,      3.,      28660.,  0.1607278896328917E-04,  0.4508125159498378E-02,  0.4629818387298142E-01
      6.,  0.1034122743116327E+00,      4.,        374.,  0.4820473129161418E-02, -0.1087319317100380E-02, -0.4391610867111382E-02
      6.,  0.1034122743116327E+00,      5.,      29176.,  0.1579942241844501E-16,  0.1997371723650244E-15,  0.3194056157287937E-16
      6.,  0.1034122743116327E+00,      6.,      14098., -0.1217906783387566E-16,  0.1883721039001041E-15,  0.2277082479444345E-16
      6.,  0.1034122743116327E+00,      7.,      51317.,  0.4002534841993546E-02, -0.1278730511289688E-02,  0.4871493004277637E-02
      6.,  0.1034122743116327E+00,      8.,      51508., -0.1603913112657413E-04,  0.4562851602407567E-02, -0.3603338004342119E-01
      6.,  0.1034122743116327E+00,      9.,      14392., -0.3784185633841094E-02, -0.1090872032417273E-02,  0.3617848658836898E-02
      6.,  0.1034122743116327E+00,     10.,      52024.,  0.1099152184503343E-16,  0.1926205855741455E-15,  0.3021059297106891E-16
      7.,  0.1102736492993518E+00,      1.,         80.,  0.6002592502365250E-17,  0.7055949367346275E-15, -0.9046929273256266E-17
      7.,  0.1102736492993518E+00,      2.,      28469.,  0.1666406783306067E-03, -0.2232657104766323E-01,  0.3703497335651123E-04
      7.,  0.1102736492993518E+00,      3.,      28660., -0.1054446638310826E-05,  0.3027128687999412E-01, -0.1876503083099430E-02
      7.,  0.1102736492993518E+00,      4.,        374., -0.1555905076961977E-03, -0.2088360578340085E-01, -0.3030499670617192E-04
      7.,  0.1102736492993518E+00,      5.,      29176.,  0.8473036302918511E-17,  0.1152147280544305E-14, -0.5071248422655793E-16
      7.,  0.1102736492993518E+00,      6.,      14098.,  0.5590040689764309E-17,  0.7036809084485281E-15, -0.3991983132032006E-16
      7.,  0.1102736492993518E+00,      7.,      51317., -0.1394560463984893E-03, -0.2232679512720594E-01, -0.8179467910050715E-04
      7.,  0.1102736492993518E+00,      8.,      51508.,  0.1014486698988538E-05,  0.3026910087043442E-01,  0.1467465578221135E-02
      7.,  0.1102736492993518E+00,      9.,      14392.,  0.1329312980259664E-03, -0.2088396535531626E-01, -0.3996874589321561E-04
      7.,  0.1102736492993518E+00,     10.,      52024., -0.1970254779655220E-16,  0.1149216493221189E-14, -0.6025624019512052E-16
      8.,  0.1162482984932418E+00,      1.,         80., -0.1938985159377233E-16, -0.1609259578841929E-15,  0.4446719001576281E-16
      8.,  0.1162482984932418E+00,      2.,      28469.,  0.3197306052213269E-16,  0.4481034091338801E-15,  0.4834599003300566E-16
      8.,  0.1162482984932418E+00,      3.,      28660., -0.1359449817031289E-16, -0.6093502029134786E-15, -0.2633531898525127E-15
      8.,  0.1162482984932418E+00,      4.,        374., -0.5902219137782428E-16,  0.5189449461401562E-15,  0.5532927466513818E-16
      8.,  0.1162482984932418E+00,      5.,      29176.,  0.4101438937362206E-03,  0.5451206599948787E-01,  0.1187592395915896E-02
      8.,  0.1162482984932418E+00,      6.,      14098.,  0.2532543057711138E-16, -0.1589927681897974E-15, -0.4024636890555464E-16
      8.,  0.1162482984932418E+00,      7.,      51317., -0.6035700128477945E-16,  0.4526658888357606E-15,  0.5853100616204879E-16
      8.,  0.1162482984932418E+00,      8.,      51508.,  0.2632533201831067E-16, -0.6423877883413689E-15,  0.1609101986794918E-15
      8.,  0.1162482984932418E+00,      9.,      14392.,  0.1692425135315262E-16,  0.4897122263234700E-15,  0.2164993729549693E-16
      8.,  0.1162482984932418E+00,     10.,      52024., -0.3149160341960564E-03,  0.5451354383403941E-01, -0.8972906757987854E-03
      9.,  0.1248877970899216E+00,      1.,         80., -0.3021561337273593E-03,  0.5596316538115970E-01,  0.7060558025517511E-03
      9.,  0.1248877970899216E+00,      2.,      28469.,  0.4511665867655702E-16,  0.9290448675124844E-16,  0.1009938200934997E-15
      9.,  0.1248877970899216E+00,      3.,      28660., -0.2532423070364948E-16, -0.3272470809961370E-15, -0.3148018469760967E-15
      9.,  0.1248877970899216E+00,      4.,        374., -0.8755265906056226E-16,  0.4264043913768385E-15,  0.1949656122053512E-15
      9.,  0.1248877970899216E+00,      5.,      29176., -0.1459929807673462E-15,  0.4042875267716508E-15, -0.3566582500794173E-15
      9.,  0.1248877970899216E+00,      6.,      14098.,  0.2275048821154870E-03,  0.5596420938679542E-01, -0.5109270104683192E-03
