mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
7,0.1102736492993518,1,372853.0,80,14098,7.055949367346275e-16,7.036809084485281e-16,-9.046929273256266e-18,-3.991983132032006e-17,7.046379225915778e-16,-2.4483380296788166e-17,7.179744662107859e-22,3.0872902047063793e-17
7,0.1102736492993518,2,1272409.0,28469,51317,-0.02232657104766323,-0.02232679512720594,3.703497335651123e-05,-8.179467910050715e-05,-0.022326683087434587,-2.237985287199796e-05,2.7634802896981017e-09,0.00011882965245701838
7,0.1102736492993518,3,1847909.0,28660,51508,0.03027128687999412,0.03026910087043442,-0.00187650308309943,0.001467465578221135,0.03027019387521427,-0.00020451875243914744,-7.776671305396663e-08,-0.0033439686613205653
7,0.1102736492993518,4,2423409.0,374,14392,-0.02088360578340085,-0.02088396535531626,-3.030499670617192e-05,-3.996874589321561e-05,-0.020883785569358555,-3.513687129969377e-05,2.247383531870625e-10,9.663749187043687e-06
7,0.1102736492993518,5,3361547.0,29176,52024,1.152147280544305e-15,1.149216493221189e-15,-5.071248422655793e-17,-6.025624019512052e-17,1.1506818868827472e-15,-5.548436221083922e-17,2.2194781322238586e-22,9.543755968562592e-18
8,0.1162482984932418,1,372853.0,80,14098,-1.609259578841929e-16,-1.589927681897974e-16,4.446719001576281e-17,-4.024636890555464e-17,-1.5995936303699515e-16,2.1104105551040846e-18,1.9700827656120335e-21,8.471355892131744e-17
8,0.1162482984932418,2,1272409.0,28469,51317,4.481034091338801e-16,4.526658888357606e-16,4.834599003300566e-17,5.853100616204879e-17,4.503846489848204e-16,5.343849809752723e-17,-2.3686084021030543e-22,-1.0185016129043134e-17
8,0.1162482984932418,3,1847909.0,28660,51508,-6.093502029134786e-16,-6.423877883413689e-16,-2.633531898525127e-16,1.609101986794918e-16,-6.258689956274237e-16,-5.122149558651044e-17,-9.866590430976849e-21,-4.242633885320045e-16
8,0.1162482984932418,4,2423409.0,374,14392,5.189449461401562e-16,4.8971222632347e-16,5.532927466513818e-17,2.164993729549693e-17,5.043285862318131e-16,3.848960598031755e-17,7.832404039451453e-22,3.367933736964125e-17
8,0.1162482984932418,5,3361547.0,29176,52024,0.05451206599948787,0.05451354383403941,0.001187592395915896,-0.0008972906757987854,0.05451280491676364,0.00014515086005855533,4.848565283057399e-08,0.0020848830717146816
9,0.1248877970899216,1,372853.0,80,14098,0.0559631653811597,0.05596420938679542,0.0007060558025517511,-0.0005109270104683192,0.05596368738397756,9.756439604171593e-05,2.830192588418768e-08,0.0012169828130200702
9,0.1248877970899216,2,1272409.0,28469,51317,9.290448675124844e-17,1.163155893926889e-16,1.009938200934997e-16,1.681187465840974e-16,1.0461003807196866e-16,1.3455628333879855e-16,-1.5610448021069233e-21,-6.71249264905977e-17
