node_id,X_mm,Y_mm,Z_mm,family,component_class
2000197,260913.649999999907,23600.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_03,gate
2000198,260913.649999999907,23340.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_04,gate
2000199,260913.649999999907,23080.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_05,gate
2000200,260913.649999999907,22820.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_06,gate
2000201,260913.649999999907,22560.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_07,gate
2000202,260913.649999999907,22300.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_08,gate
2000203,260913.649999999907,20600.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_09,gate
2000204,260913.649999999907,20340.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_10,gate
2000205,260913.649999999907,20080.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_11,gate
2000206,260913.649999999907,19820.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_12,gate
2000207,260913.649999999907,19560.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_13,gate
2000208,260913.649999999907,19300.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_14,gate
2000209,260913.649999999907,19040.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_15,gate
2000210,260913.649999999907,18780.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_16,gate
2000211,260913.649999999907,18540.000000000000,134297.853827214014,CW1_GATE_04::right_post_bottom_weld_projection,gate
2000212,260913.649999999907,18375.000000000000,134297.853827214014,CW1_GATE_04::bottom_beam_endpoint_end,gate
2000232,260913.649999999907,25140.000000000000,143364.627105580003,CW1_GATE_04::top_beam_endpoint_start,gate
2000233,260913.649999999907,24360.000000000000,143364.627105580003,CW1_GATE_04::left_post_top_weld_projection,gate
2000234,260913.649999999907,23660.000000000000,143364.627105580003,CW1_GATE_04::gantry_rope_master_01,gate
2000235,260913.649999999907,23400.000000000000,143364.627105580003,CW1_GATE_04::gantry_rope_master_02,gate
2000236,260913.649999999907,23140.000000000000,143364.627105580003,CW1_GATE_04::gantry_rope_master_03,gate
2000237,260913.649999999907,19760.000000000000,143364.627105580003,CW1_GATE_04::gantry_rope_master_04,gate
2000238,260913.649999999907,19500.000000000000,143364.627105580003,CW1_GATE_04::gantry_rope_master_05,gate
2000239,260913.649999999907,19240.000000000000,143364.627105580003,CW1_GATE_04::gantry_rope_master_06,gate
