 10.,3.,  0.4852260837012384E-01,  0.5224837032778239E-04,  0.1076784041147148E-02
 10.,4.,  0.4852260837012384E-01,  0.6494428248932094E-06,  0.1338433457532513E-04
 10.,5.,  0.4852260837012384E-01,  0.4265393260858381E-05,  0.8790527558457993E-04
 10.,6.,  0.4852260837012384E-01,  0.3054079495124623E-05,  0.6294137099614516E-04
 11.,1.,  0.5139527092001027E-01,  0.5571531592925692E-04,  0.1084055301818921E-02
 11.,2.,  0.5139527092001027E-01,  0.8642682525043590E-04,  0.1681610461494550E-02
 11.,3.,  0.5139527092001027E-01,  0.2036588350535842E-03,  0.3962598725679478E-02
 11.,4.,  0.5139527092001027E-01,  0.3113850988824274E-04,  0.6058633281008594E-03
 11.,5.,  0.5139527092001027E-01,  0.4837715824146261E-03,  0.9412764516166294E-02
 11.,6.,  0.5139527092001027E-01,  0.6514281924339775E-05,  0.1267486639865829E-03
 12.,1.,  0.2915474387930727E+00,  0.1215676553514343E-05,  0.4169738408771192E-05
 12.,2.,  0.2915474387930727E+00,  0.9562530512005498E-05,  0.3279922660816977E-04
 12.,3.,  0.2915474387930727E+00,  0.7703888397135810E-04,  0.2642413333839535E-03
 12.,4.,  0.2915474387930727E+00,  0.8131738067346604E-06,  0.2789164638526681E-05
 12.,5.,  0.2915474387930727E+00,  0.6140411719897387E-05,  0.2106144970889480E-04
 12.,6.,  0.2915474387930727E+00,  0.4531004018386428E-05,  0.1554122388158701E-04
 13.,1.,  0.3428559133481030E-03,  0.4249531979765811E-05,  0.1239451272188280E-01
 13.,2.,  0.3428559133481030E-03,  0.1208587166113453E-04,  0.3525058542263992E-01
 13.,3.,  0.3428559133481030E-03,  0.8045506557284083E-04,  0.2346614494327081E+00
 13.,4.,  0.3428559133481030E-03,  0.9777586158201781E-06,  0.2851806189579865E-02
 13.,5.,  0.3428559133481030E-03,  0.6570214476215559E-05,  0.1916319427614711E-01
 13.,6.,  0.3428559133481030E-03,  0.4692578462248242E-05,  0.1368673626312476E-01
 14.,1.,  0.2207074243104046E-03,  0.2820443169158139E-05,  0.1277910418270047E-01
 14.,2.,  0.2207074243104046E-03,  0.3782502559536166E-04,  0.1713808482589343E+00
 14.,3.,  0.2207074243104046E-03,  0.5853474326883024E-05,  0.2652142013424367E-01
 14.,4.,  0.2207074243104046E-03,  0.6768188042773068E-06,  0.3066588296211657E-02
 14.,5.,  0.2207074243104046E-03,  0.9336433328262101E-05,  0.4230230748890110E-01
 14.,6.,  0.2207074243104046E-03,  0.2512690958928988E-06,  0.1138471425136619E-02
 15.,1.,  0.2941402515850717E+00,  0.7436854982151003E-04,  0.2528336377654897E-03
 15.,2.,  0.2941402515850717E+00,  0.6528518678376483E-03,  0.2219525768131158E-02
 15.,3.,  0.2941402515850717E+00,  0.1869502012621614E-03,  0.6355818364019159E-03
 15.,4.,  0.2941402515850717E+00,  0.2681721249029635E-04,  0.9117151544470016E-04
 15.,5.,  0.2941402515850717E+00,  0.4144712552267551E-03,  0.1409093971305322E-02
 15.,6.,  0.2941402515850717E+00,  0.5725930743233289E-05,  0.1946666840861536E-04
 16.,1.,  0.9008232356462100E-03,  0.4621885118993539E-04,  0.5130734794688113E-01
 16.,2.,  0.9008232356462100E-03,  0.3389954149177737E-04,  0.3763173522878700E-01
 16.,3.,  0.9008232356462100E-03,  0.1642420223067115E-03,  0.1823243626579988E+00
 16.,4.,  0.9008232356462100E-03,  0.2453071994536979E-04,  0.2723144671970251E-01
 16.,5.,  0.9008232356462100E-03,  0.3786637713326365E-03,  0.4203530241546224E+00
 16.,6.,  0.9008232356462100E-03,  0.5308521638371100E-05,  0.5892967042044608E-02
 17.,1.,  0.2340057713743779E+00,  0.1551364704969534E-05,  0.6629600184038017E-05
 17.,2.,  0.2340057713743779E+00,  0.1290299174988514E-04,  0.5513963042066207E-04
 17.,3.,  0.2340057713743779E+00,  0.1182177000648612E-03,  0.5051913863941785E-03
 17.,4.,  0.2340057713743779E+00,  0.1293079382718582E-05,  0.5525843978650541E-05
 17.,5.,  0.2340057713743779E+00,  0.9582509831315353E-05,  0.4094988672730049E-04
 17.,6.,  0.2340057713743779E+00,  0.6900962311720549E-05,  0.2949056457534943E-04
 18.,1.,  0.4966982319826210E-03,  0.1076591358404194E-04,  0.2167495853784039E-01
 18.,2.,  0.4966982319826210E-03,  0.2523671320194157E-03,  0.5080894510376388E+00
 18.,3.,  0.4966982319826210E-03,  0.1392119070728970E-04,  0.2802746176832937E-01
 18.,4.,  0.4966982319826210E-03,  0.6237712339255224E-06,  0.1255835422316034E-02
 18.,5.,  0.4966982319826210E-03,  0.4189314801679642E-05,  0.8434325978889778E-02
 18.,6.,  0.4966982319826210E-03,  0.6409339706163209E-06,  0.1290389071968242E-02
 19.,1.,  0.2359950258407614E+00,  0.9644520266491277E-04,  0.4086747266020326E-03
 19.,2.,  0.2359950258407614E+00,  0.2676806151076097E-03,  0.1134263801340577E-02
 19.,3.,  0.2359950258407614E+00,  0.3115439184094709E-03,  0.1320129173483879E-02
 19.,4.,  0.2359950258407614E+00,  0.4765997347224576E-04,  0.2019532966953487E-03
 19.,5.,  0.2359950258407614E+00,  0.7482656676210241E-03,  0.3170684064018873E-02
 19.,6.,  0.2359950258407614E+00,  0.9944621765753045E-05,  0.4213911598485648E-04
 20.,1.,  0.4679764963762848E-03,  0.4845389817790727E-05,  0.1035391703495875E-01
 20.,2.,  0.4679764963762848E-03,  0.1068280225615470E-03,  0.2282764698414470E+00
 20.,3.,  0.4679764963762848E-03,  0.6760190576987049E-05,  0.1444557713759923E-01
 20.,4.,  0.4679764963762848E-03,  0.4118131117869604E-06,  0.8799867407354464E-03
 20.,5.,  0.4679764963762848E-03,  0.3334098701122625E-05,  0.7124500326276608E-02
 20.,6.,  0.4679764963762848E-03,  0.4046605182375358E-06,  0.8647026535968621E-03
 21.,1.,  0.5681845778218600E-01,  0.5925869572290862E-05,  0.1042947979159823E-03
 21.,2.,  0.5681845778218600E-01,  0.2232825140787267E-04,  0.3929753161106237E-03
 21.,3.,  0.5681845778218600E-01,  0.2171313694198557E-03,  0.3821493540923454E-02
 21.,4.,  0.5681845778218600E-01,  0.2361497608489448E-05,  0.4156215604341580E-04
 21.,5.,  0.5681845778218600E-01,  0.1756513888866927E-04,  0.3091449429339558E-03
 21.,6.,  0.5681845778218600E-01,  0.1270916236448087E-04,  0.2236801712077710E-03
 22.,1.,  0.5321270312090268E-01,  0.5832093639352454E-04,  0.1095996500328420E-02
 22.,2.,  0.5321270312090268E-01,  0.2013904734468434E-03,  0.3784631519080534E-02
 22.,3.,  0.5321270312090268E-01,  0.1788501970086433E-03,  0.3361043256950960E-02
