
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      4522  UZ     0.00000000      0.00000000    
      4525  UY     0.00000000      0.00000000    
      4525  UZ     0.00000000      0.00000000    
      4815  UY     0.00000000      0.00000000    
      4815  UZ     0.00000000      0.00000000    
      4818  UX     0.00000000      0.00000000    
      4818  UY     0.00000000      0.00000000    
      4818  UZ     0.00000000      0.00000000    
      4976  UY     0.00000000      0.00000000    
      4976  UZ     0.00000000      0.00000000    
      5091  UY     0.00000000      0.00000000    
      5091  UZ     0.00000000      0.00000000    
      5094  UY     0.00000000      0.00000000    
      5094  UZ     0.00000000      0.00000000    
      5096  UX     0.00000000      0.00000000    
      5096  UY     0.00000000      0.00000000    
      5096  UZ     0.00000000      0.00000000    
      5097  UX     0.00000000      0.00000000    
      5097  UY     0.00000000      0.00000000    
      5097  UZ     0.00000000      0.00000000    
      5099  UY     0.00000000      0.00000000    
      5099  UZ     0.00000000      0.00000000    
      5102  UY     0.00000000      0.00000000    
      5102  UZ     0.00000000      0.00000000    
      5250  UX     0.00000000      0.00000000    
      5250  UY     0.00000000      0.00000000    
      5250  UZ     0.00000000      0.00000000    
      5253  UY     0.00000000      0.00000000    
      5253  UZ     0.00000000      0.00000000    
      5543  UY     0.00000000      0.00000000    
      5543  UZ     0.00000000      0.00000000    
      5546  UX     0.00000000      0.00000000    
      5546  UY     0.00000000      0.00000000    
      5546  UZ     0.00000000      0.00000000    
      5704  UY     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.409

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      5704  UZ     0.00000000      0.00000000    
      5819  UY     0.00000000      0.00000000    
      5819  UZ     0.00000000      0.00000000    
      5822  UY     0.00000000      0.00000000    
      5822  UZ     0.00000000      0.00000000    
      5824  UX     0.00000000      0.00000000    
      5824  UY     0.00000000      0.00000000    
      5824  UZ     0.00000000      0.00000000    
      5825  UX     0.00000000      0.00000000    
      5825  UY     0.00000000      0.00000000    
      5825  UZ     0.00000000      0.00000000    
      5827  UY     0.00000000      0.00000000    
      5827  UZ     0.00000000      0.00000000    
      5830  UY     0.00000000      0.00000000    
      5830  UZ     0.00000000      0.00000000    
      5978  UX     0.00000000      0.00000000    
      5978  UY     0.00000000      0.00000000    
      5978  UZ     0.00000000      0.00000000    
      5981  UY     0.00000000      0.00000000    
      5981  UZ     0.00000000      0.00000000    
      6271  UY     0.00000000      0.00000000    
      6271  UZ     0.00000000      0.00000000    
