mode,f_hz,family,parity,half_waves,main_span_fraction,dominant_span,residual_zero,L,V,T_catwalk,T_global
21,0.1687403,V,S,1,0.00014598125619949684,side_NW,False,109.8479495157632,82248.79394928773,0.04878346702724601,0.024382379255588314
22,0.1697578,T,S,1,0.00030396465959302385,side_NW,False,4415.347715768938,81430.93466029376,1.8971432363951037,0.9490784573731613
23,0.1813511,L,S,3,1.9265803659588885e-05,side_SE,False,90619.1146181171,8499.609975685526,0.30408073887466425,0.09706013519518296
24,0.189782,V,S,5,0.999911399671165,main,False,700.9959679264491,168124.2725025271,0.03790727645928012,0.019677125494958907
25,0.1920542,T,S,5,0.9999121994000342,main,False,63510.12960667032,159736.13990931356,3.5576263443556932,1.8617253519458237
26,0.2005783,V,S,1,5.8483148435781653e-05,side_SE,False,119.7256935864327,112185.9982091083,0.06823352634063508,0.03368759951900299
27,0.2020967,T,S,1,3.979935771374148e-05,side_SE,False,4800.997140715843,109081.50182367227,2.571081674101846,1.2713431256275491
28,0.2065424,L,S,5,0.9999573161994666,main,False,162754.44698134885,48982.79590618017,1.3764957384739833,0.5707762545959121
29,0.2233409,V,A,6,0.9998062570018844,main,False,280.9636413736594,171296.8010291206,0.01935090918144578,0.009893473750978961
30,0.2271095,T,A,6,0.9997949297003894,main,False,43559.54176911779,167061.94553224367,3.710600381323369,1.9471073558902627
31,0.2333867,V,A,2,0.0004904086088062381,side_SE,False,466.41777161444037,94799.24492661365,0.044267674452936834,0.02341190641870567
32,0.236422,T,A,2,0.0004888164866683215,side_SE,False,22600.05502034124,93801.64533259372,2.0547912711387144,1.0932171368009607
33,0.2486387,L,A,6,0.9997411343856359,main,False,168254.53211729325,28394.827780240343,1.0818740089220111,0.3308520112345935
34,0.2509354,V,A,2,0.0004803528549564849,side_NW,False,411.1718998024066,83027.79263548218,0.05699262411603377,0.030130390780128323
35,0.2537258,T,A,2,0.0004977319343629578,side_NW,False,13210.924229286074,81985.0161242429,1.7997333966786857,0.9555363143835183
36,0.2555345,L,A,4,0.0006753813065380022,side_SE,False,98426.86417674003,14341.626907656286,0.6473319028115609,0.16580576161514066
37,0.2614437,V,S,7,0.9998234800290674,main,False,384.8243048604609,170467.4396007572,0.037591753362421376,0.019412865212214095
38,0.2644154,T,S,7,0.9998165289821168,main,False,31801.291740592438,167697.46145074247,3.7083482440496303,1.9545099675795545
39,0.2755569,L,A,2,0.00038260408615906706,side_NW,False,87219.77445044543,6040.787227736899,0.3561290414142435,0.0691306637741194
40,0.2902111,L,S,7,0.9998493022319767,main,False,166784.33807352404,17265.52031380537,1.1295499196440855,0.19809590928401052
41,0.2977119,V,A,8,0.9999031393174682,main,False,311.3183724410095,170684.34917159853,0.03623771699141584,0.01864610445276253
42,0.3013456,T,A,8,0.9999007729447623,main,False,24962.06888568279,168698.65237002645,3.727529391689882,1.9661721228576365
43,0.3318063,L,A,8,0.9999176452410972,main,False,167999.87216083662,10953.8162592476,1.2086225013049412,0.11946404776638907
44,0.335304,V,A,2,0.0001544115222985399,side_SE,False,710.4638534172984,81695.39494288866,0.07783349304378318,0.03963306493611564
45,0.3359716,V,S,9,0.999774379005371,main,False,317.36837674699177,171102.59602545042,0.04425032253082347,0.022858729192880234
46,0.3383093,T,A,2,3.339067289643658e-05,side_SE,False,17152.11175170442,79776.35957700074,1.815885794634756,0.9290736601523188
47,0.3394001,T,S,9,0.9997885420189936,main,False,20066.372942039106,169264.67329203425,3.712652729580377,1.9727817393449998
48,0.3505253,V,S,3,0.000555983704354648,side_SE,False,454.3410227262724,95387.32134350322,0.07881209849379817,0.04193809465179101
49,0.353473,T,S,3,0.0005883582518331663,side_SE,False,11537.260148010628,94050.13750826831,2.04699910879084,1.0961364505778872
50,0.3668588,L,S,5,0.00022309608448242566,side_SE,False,104197.62731578544,10721.483358065041,0.736171060676936,0.1200273363718928
51,0.3715824,V,A,10,0.9995343276804018,main,False,335.22434766181243,170134.6045635449,0.054390523974792326,0.028021391216645247
52,0.3755092,T,A,10,0.9997158694513295,main,False,17572.994232703895,168502.40896648337,3.7023811319094104,1.9638950541695328
53,0.3756993,V,S,3,0.0003755912830783501,side_NW,False,501.1168475785572,82383.13555724717,0.10059877299025691,0.05301296114129615
54,0.377218,L,S,9,0.9996355816335774,main,False,166505.33231549183,8565.86404865572,1.6881717750625473,0.06415983309857952
55,0.3788428,T,S,3,0.0019012417996236688,side_NW,False,8831.048192538834,81788.31599880285,1.801420937396223,0.9532437081927746
56,0.3875252,L,A,4,0.0008196709295781609,side_SE,False,109896.67552212489,5535.725642240857,1.1954646316250104,0.033540470910142076
57,0.4079204,V,S,11,0.999876829328112,main,False,418.03080570021143,169546.92270059738,0.07687399965557094,0.03989144024337497
58,0.4118773,T,S,11,0.9998706479155167,main,False,15791.737081665797,168034.175075813,3.686973986969045,1.9584357226887494
59,0.413788,L,S,3,0.003819714466405622,side_NW,False,86440.24405530246,3506.4488931874885,0.7371207387764585,0.022288555490863848
60,0.4161487,L,A,10,0.9987546058601783,main,False,163388.40975355447,8619.618533093486,2.141111281466645,0.037411973860293504
61,0.4449893,V,A,12,0.9998808232725143,main,False,420.48281560544103,169067.5166474805,0.08137137857061588,0.04275174501598762
62,0.4492756,T,A,12,0.999878760823669,main,False,14100.630516704856,167825.19457582067,3.6001929343044137,1.9559954155776895
63,0.4557202,L,S,11,0.9997887882397796,main,False,160209.77802179568,10551.645037347958,2.9085587406752516,0.03659763277055859
64,0.4861954,V,A,4,0.005231203907203581,side_SE,False,69.97402062762097,98860.16170680958,0.011327085917128627,0.036889865464153744
65,0.4873969,V,S,13,0.9979373612854295,main,False,308.90060516469146,168563.78251772115,0.05740653085870425,0.029372297309978607
66,0.4890009,V,A,4,0.0021758754302086047,side_SE,False,2799.1038330001807,98260.92266328124,0.24807745433294986,1.145225426291743
67,0.4923491,T,S,13,0.9991823417444522,main,False,11862.131352770033,167730.70299374542,3.25686036422849,1.9548821415487525
68,0.4944782,T,S,1,0.0008547455278520276,side_SE,False,2068.8585368057807,34036.6195107596,9.665650372547525,0.011670468847121874
69,0.4983307,T,A,12,0.9975947855465619,main,False,143799.2612680571,19654.216821402697,5.543249470116043,0.05968181333528087
70,0.5036817,T,A,2,0.0017391128150447076,side_SE,False,3975.4653443062134,37969.51115686123,10.785553788090741,0.018755773625886294
