id,status,category,confidence,U10,gust3s,U_deck,Iu,stationarity,rms_L_max_mm,rms_V_max_mm,rms_Tcw_max_rad,rms_Tg_max_rad,peak_L_mm,peak_V_mm,peak_Tcw_rad,peak_Tg_rad,rms_csv
infa_2021_zhoushan,OK,typhoon,A,35.8,,43.70768481630429,0.12,stationary_ok,7021.954913272575,732.690669684805,0.025244712368863303,0.023868712127479506,19294.242583882777,2217.8383756417343,0.0759579652903533,0.07340045406077005,buffeting_rms_alongspan_infa_2021_zhoushan.csv
doksuri_2023_jinjiang,OK,typhoon,A,47.2,,57.62577439468051,0.12,stationary_ok,12721.662929362239,1328.2675815129603,0.04584629824653251,0.044056649441182885,34958.16569635854,4014.7735673351513,0.13786124940445116,0.1354548839260748,buffeting_rms_alongspan_doksuri_2023_jinjiang.csv
haiyan_2013_peak,OK,typhoon,A,63.9,105.6,78.01455474195096,0.12,stationary_ok,24000.629189500185,2514.756881411994,0.08694619456702611,0.08528320074503952,65962.59371092814,7597.5892096027665,0.26160908134186084,0.2622757307867483,buffeting_rms_alongspan_haiyan_2013_peak.csv
meranti_2016_peak,OK,typhoon,A,61.1,70.0,74.59607659989362,0.12,stationary_ok,21875.167902719586,2291.1158484788134,0.0791778961787261,0.07741237705199415,60119.19187001799,6922.097986800222,0.23820161806376552,0.23804603537036745,buffeting_rms_alongspan_meranti_2016_peak.csv
goni_2020_landfall,OK,typhoon,A,76.8,,93.76397189642931,0.12,stationary_ok,34957.9164180278,3667.002484749158,0.12713138425855527,0.1262835043957751,96089.46503369171,11115.006534647036,0.38284433566445536,0.3885304685271934,buffeting_rms_alongspan_goni_2020_landfall.csv
tip_1979_peak,OK,typhoon,C,72.0,,87.90372365290249,0.12,stationary_ok,30660.97038823253,3215.2861387276976,0.11135323248782643,0.11013382333339437,84274.58533137989,9714.59572038341,0.3352277862655476,0.3387932169578348,buffeting_rms_alongspan_tip_1979_peak.csv
mangkhut_2018_peak,OK,typhoon,A,69.5,,84.8515110260656,0.12,stationary_ok,28525.241280205868,2990.6707506261446,0.10351901152500344,0.10213811563962899,78402.43464232201,9035.522682723979,0.31159076849417966,0.3141712057498365,buffeting_rms_alongspan_mangkhut_2018_peak.csv
lanyu_ryan_1995_gust,OK,typhoon,C,60.1,85.4,73.37519154915887,0.12,stationary_ok,21138.510196156945,2213.5901431525763,0.07648714479350244,0.07469253105230884,58093.99218387495,6687.948326717784,0.2300945767604074,0.22967392668134995,buffeting_rms_alongspan_lanyu_ryan_1995_gust.csv
patricia_2015_peak,OK,hurricane,A,84.1,,102.67643276679304,0.12,stationary_ok,41976.55153921923,4405.157725805153,0.1531851127913022,0.1528082596068305,115390.35739320601,13355.08475693983,0.4714032183189975,0.4702423540482491,buffeting_rms_alongspan_patricia_2015_peak.csv
dorian_2019_landfall,OK,hurricane,C,71.9,,87.78163514782902,0.12,stationary_ok,30574.185950932493,3206.1617053881623,0.11103479135517705,0.10980848360111115,84035.97041065092,9687.008470954604,0.3342669581776109,0.33779132466318734,buffeting_rms_alongspan_dorian_2019_landfall.csv
gustav_2008_cuba_gust,OK,hurricane,C,66.5,94.4,81.18885587386134,0.13,stationary_ok,28227.705756006224,2958.566044632879,0.10234249234554961,0.1006693990524155,77582.29347539255,8938.314023376106,0.30798356219061446,0.30962199015086894,buffeting_rms_alongspan_gustav_2008_cuba_gust.csv
amphan_2020_peak,OK,monsoon,A,63.5,,77.52620072165705,0.12,stationary_ok,23691.35378475036,2482.219669343067,0.08581542016449153,0.0841358755439529,65112.309296053376,7499.309994822382,0.2582016606012704,0.25874360038241895,buffeting_rms_alongspan_amphan_2020_peak.csv
nargis_2008_peak,OK,monsoon,A,52.4,,63.97437665850126,0.12,stationary_ok,15868.835847355904,1659.165444405896,0.057275191751902266,0.05541494092052354,43607.9681086355,5013.818784135992,0.1722372076202112,0.1703749535733091,buffeting_rms_alongspan_nargis_2008_peak.csv
bhola_1970_peak,OK,monsoon,A,49.0,,59.82336748600308,0.12,stationary_ok,13772.930901233465,1438.766235908247,0.04966152534973319,0.047837018875260026,37847.46264815597,4348.390853340668,0.14933552274082723,0.147076871081905,buffeting_rms_alongspan_bhola_1970_peak.csv
ef3_anchor,OK,tornado,B,47.2,67.0,57.62577439468051,0.25,reference_only,26503.46443617134,2767.2241281520005,0.09551312134694274,0.09178468633579769,72829.51186741366,8364.111598614898,0.2872109362592733,0.2821976748459892,buffeting_rms_alongspan_ef3_anchor.csv
ef4_anchor,OK,tornado,B,57.7,82.0,70.44506742739546,0.25,reference_only,40456.61415727176,4234.753421145713,0.1462728827010129,0.14244030773429378,111182.02296075379,12795.077605634757,0.43997352401623063,0.43796898931240813,buffeting_rms_alongspan_ef4_anchor.csv
ef5_anchor,OK,tornado,B,66.9,95.0,81.67720989415523,0.25,reference_only,54957.4140034863,5760.360531365087,0.1992794773235559,0.19610340795513062,151048.04768788,17402.978994992154,0.599717641363323,0.6031501777557188,buffeting_rms_alongspan_ef5_anchor.csv
funing_2016_ef4,OK,tornado,A,51.8,73.5,63.2418456280604,0.25,reference_only,32267.85100562847,3373.2717612067304,0.11644408261010313,0.11257556843125552,88672.51515286292,10193.887124307705,0.35016624094733395,0.34611701071020745,buffeting_rms_alongspan_funing_2016_ef4.csv
bridge_creek_1999_ref,OK,tornado,C,95.1,135.0,116.10616832487536,0.25,reference_only,111698.6284825567,11718.658578187176,0.41153209584679035,0.41051942500069477,307080.85846466164,35539.681852088404,1.266783889054185,1.2636635065548867,buffeting_rms_alongspan_bridge_creek_1999_ref.csv
dongfangzhixing_2015_downburst,OK,downburst,A,30.6,43.5,37.35908255248356,0.22,reference_only,9136.430295659038,954.8994670904257,0.032849204032084516,0.03147887717198581,25105.222049053977,2893.9998629696256,0.09892842843220183,0.09687104500272317,buffeting_rms_alongspan_dongfangzhixing_2015_downburst.csv
andrews_afb_1983_microburst,OK,downburst,C,46.9,66.6,57.259508879460085,0.22,reference_only,23009.08029925581,2402.1638149062364,0.08291257388261881,0.07964409175639305,63227.0709590342,7260.804178341258,0.2493204239948202,0.24487104541308063,buffeting_rms_alongspan_andrews_afb_1983_microburst.csv
midwest_derecho_2020,OK,derecho,C,44.1,62.6,53.84103073740277,0.2,reference_only,18344.803495981836,1913.5813329198556,0.06604925402105764,0.06320640181299068,50408.986037118964,5784.9336434628885,0.19861349996896613,0.1943364022653715,buffeting_rms_alongspan_midwest_derecho_2020.csv
