source,rel,target,contract,note
event:great_storm_1987,DRIVES,channel:Tg,,
event:lothar_1999,DRIVES,channel:L,,
event:lothar_1999,DRIVES,channel:V,,
event:lothar_1999,DRIVES,channel:Tcw,,
event:lothar_1999,DRIVES,channel:Tg,,
event:bora_adriatic,DRIVES,channel:L,,
event:bora_adriatic,DRIVES,channel:V,,
event:bora_adriatic,DRIVES,channel:Tcw,,
event:bora_adriatic,DRIVES,channel:Tg,,
event:mistral_strong,DRIVES,channel:L,,
event:mistral_strong,DRIVES,channel:V,,
event:mistral_strong,DRIVES,channel:Tcw,,
event:mistral_strong,DRIVES,channel:Tg,,
event:patagonia_westerlies,DRIVES,channel:L,,
event:patagonia_westerlies,DRIVES,channel:V,,
event:patagonia_westerlies,DRIVES,channel:Tcw,,
event:patagonia_westerlies,DRIVES,channel:Tg,,
event:xinjiang_baili_fengqu,DRIVES,channel:L,,
event:xinjiang_baili_fengqu,DRIVES,channel:V,,
event:xinjiang_baili_fengqu,DRIVES,channel:Tcw,,
event:xinjiang_baili_fengqu,DRIVES,channel:Tg,,
event:cape_denison_katabatic,DRIVES,channel:L,,
event:cape_denison_katabatic,DRIVES,channel:V,,
event:cape_denison_katabatic,DRIVES,channel:Tcw,,
event:cape_denison_katabatic,DRIVES,channel:Tg,,
event:thule_1972_gust,DRIVES,channel:L,,
event:thule_1972_gust,DRIVES,channel:V,,
event:thule_1972_gust,DRIVES,channel:Tcw,,
event:thule_1972_gust,DRIVES,channel:Tg,,
event:piteraq_tasiilaq,DRIVES,channel:L,,
event:piteraq_tasiilaq,DRIVES,channel:V,,
event:piteraq_tasiilaq,DRIVES,channel:Tcw,,
event:piteraq_tasiilaq,DRIVES,channel:Tg,,
event:barrow_olivia_1996,DRIVES,channel:L,,
event:barrow_olivia_1996,DRIVES,channel:V,,
event:barrow_olivia_1996,DRIVES,channel:Tcw,,
event:barrow_olivia_1996,DRIVES,channel:Tg,,
event:mt_washington_1934,DRIVES,channel:L,,
event:mt_washington_1934,DRIVES,channel:V,,
event:mt_washington_1934,DRIVES,channel:Tcw,,
event:mt_washington_1934,DRIVES,channel:Tg,,
deck,OUTPUTS,channel:L,,
deck,OUTPUTS,channel:V,,
deck,OUTPUTS,channel:Tcw,,
deck,OUTPUTS,channel:Tg,,
deck,FEEDS,atlas,,
deck,FEEDS,warning,,
deck,FEEDS,galloping,,
atlas,QUERIED_BY,warning,,
