mode,f_hz,family,parity,half_waves,main_span_fraction,dominant_span,residual_zero,L,V,T_catwalk,T_global
68,0.3794028,T,S,3,0.005644777868100328,side_NW,False,7708.208090778875,81774.86522981068,1.7159070207910667,0.9530869985650472
69,0.3837593,L,A,4,0.0007148320950618963,side_SE,False,112987.22396904737,5233.438134459411,1.3492027386086576,0.02997372147063666
70,0.3916573,T,A,2,4.580479693526744e-05,side_SE,False,2859.598373000111,33448.671124353175,9.49540868708759,0.008454323506293672
71,0.4079437,T,S,9,0.9809093370383593,main,False,8673.493630554924,70813.23624666303,19.644730695742332,0.029283828856755633
72,0.4086033,T,S,3,0.05067779135488514,side_SE,False,3586.6936176911763,41777.98359518966,11.840036359641758,0.01185809382697744
73,0.4095911,L,A,10,0.9990651291503707,main,False,166144.37134773636,7631.840592853407,1.8226474163850015,0.041920234176193734
74,0.4109514,V,S,11,0.9994824480987115,main,False,1363.2842831235887,167551.67460954736,2.664814356279289,0.10739702594631056
75,0.413177,T,S,11,0.9996830187599235,main,False,13890.792488732415,168093.77337314113,3.4450683735302206,1.9590661611880842
76,0.4134992,L,S,3,0.0029296835997890554,side_NW,False,86683.75724184689,4367.5818975281845,1.050336685287798,0.023776136353920306
77,0.4373871,T,S,3,0.006559984119739193,side_NW,False,3052.4007082157527,36170.28959540959,10.274201596093352,0.008966395444055803
78,0.4413914,T,S,1,0.0006426365701649942,side_SE,False,45429.330956924634,41768.32643642257,11.810407911418245,0.18128177611445312
79,0.4427849,T,A,10,0.9977712874111668,main,False,8461.296644398195,68841.1227021226,19.447607644343037,0.0279645667914393
80,0.4489532,L,S,11,0.9986508936963804,main,False,160895.1319468909,14439.104121590264,3.632651648641221,0.07159540885960645
81,0.4491915,V,A,12,0.9996930341758519,main,False,4235.895646709025,167946.08513924992,1.5023835478119953,0.08772895209781399
82,0.4498935,T,S,1,0.0011080815550004917,side_NW,False,40197.85719699302,36516.52347551446,10.373779994195079,0.1524453831576112
83,0.4520929,T,A,12,0.9997038871757172,main,False,11998.288106185997,168204.88299098343,3.338528354789323,1.9604275295921167
84,0.4708811,T,A,2,0.9945168572320052,main,False,74419.83305810102,57971.39604584612,16.363265326474234,0.23987529117017334
85,0.4720761,T,S,1,0.99534046115185,main,False,73451.11273508106,57787.28421715977,16.211873009297555,0.2614571178207019
86,0.4736139,T,S,3,0.008384890129201005,side_SE,False,47416.18402102418,47502.79829147012,13.493522449856867,0.19688572262576887
87,0.4770628,T,S,11,0.9991252997224166,main,False,8679.884445628439,68454.43855584698,19.418148230362917,0.02878288904127622
88,0.4885702,V,A,4,0.004756958558099795,side_SE,False,2276.441603326676,80100.23902933915,0.6703443743161572,0.6782220623994488
89,0.4887993,V,S,5,0.007449469072290141,side_SE,False,3107.5576443444397,80153.17229080516,0.9169813361415431,0.9235129393427866
90,0.4909855,T,A,8,0.9894933763556233,main,False,134654.41193437687,34188.85984903315,9.57462691105268,0.15163000930596465
91,0.4914565,V,S,13,0.9978746566476626,main,False,1878.9787820353454,167255.7986321869,1.406229816715311,0.06623608926568093
92,0.4926963,T,A,2,0.0021248767435779704,side_SE,False,42981.529344577604,42124.01611883238,11.679957282262382,0.19903727594100348
93,0.4934281,T,A,2,0.00469994283313742,side_NW,False,39607.57332149428,39130.5588964927,11.100769126491556,0.15478113011336367
94,0.4947499,T,S,13,0.9985589158533873,main,False,10247.726460909293,168162.74354566587,3.233931137811723,1.9595632299046453
95,0.499243,T,S,5,0.9958376181722434,main,False,81659.8968428013,66269.1782464479,18.107757695382,0.3100369427476045
96,0.5018408,T,A,4,0.9970034983211371,main,False,101113.16802877942,58381.94487949962,16.580477311164472,0.2442066435229454
97,0.5069116,T,S,5,0.005081244547049997,side_SE,False,44885.57496946992,45667.77098829462,12.574535129341935,0.20123389800352784
98,0.5110151,T,A,12,0.9901378948700893,main,False,12915.553316321235,68711.55985376595,19.49406364129658,0.03315996780528218
99,0.5137331,T,A,4,0.01166674164484969,side_SE,False,21767.74077530791,39960.18172356415,11.084502042893552,0.054065236548029874
100,0.5177283,T,A,4,0.03504920514019307,side_SE,False,14598.355801298694,34506.633281504226,9.633064236120866,0.05847663516927202
