mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
11,0.1431180750451398,4.091420517806721e-11,SIDE,SOUTH,0.8840640212232836,7.065689683528573e-11,SIDE,0.9990310481364258,,0,0.0,False,1.4264801293569101e-27,6.830960451646912e-14,1.4842734008770957e-19,1.4440621865457995e-19,4.021121433129626e-21,0.9999999999999994,SIDE_SOUTH
12,0.1432438064933447,5.2115423346929945e-11,SIDE,SOUTH,0.8873293638183002,7.039287411615328e-11,SIDE,0.9990310701565291,,0,0.0,True,7.416895359580632e-27,1.4636560369132736e-19,6.805436175085831e-14,6.737541662532482e-14,6.789451255334816e-16,0.9999999999999999,SIDE_SOUTH
13,0.14442495607802147,2.467846948004085e-11,MAIN,MAIN,0.9999999995289476,0.9999999995289476,V,0.9644161331586132,S,1,0.6524752804094529,False,1.0911614018675009e-07,0.9644161327043244,2.998782584338208e-07,7.465734491204876e-08,2.2522091352177206e-07,0.9999999999999998,VS2
14,0.14465534213314282,3.830600316513563e-11,MAIN,MAIN,0.999999999971009,0.999999999971009,L,0.6381140463565319,A,4,0.9942399224569625,True,0.6381140463380328,1.4630136815859214e-07,0.3389527050990137,0.334496761252459,0.004455943846554693,1.0000000000000004,LA2
15,0.14606106051410575,3.339903276365626e-11,MAIN,MAIN,0.9999999999723047,0.9999999999723047,V,0.9376621289994274,A,4,0.9453116203232286,False,4.2303557827082254e-07,0.9376621289734589,4.7376613262059355e-07,3.047938035429802e-07,1.6897232907761335e-07,1.0000000000000009,VA2
16,0.14648266360937698,3.546870674093961e-11,MAIN,MAIN,0.9999999999997732,0.9999999999997732,T,0.604432080337472,A,4,0.9926192933377724,True,0.3553529749987787,6.730782759335917e-07,0.6044320803373362,0.5995118955869786,0.0049201847503575116,1.000000000000001,TA2
17,0.16574461763090428,4.8053449078684966e-11,SIDE,NORTH,0.9999999997615254,2.384747662253212e-10,SIDE,0.9983254771193514,,0,0.0,True,1.5436545183491799e-28,1.107751240560544e-19,3.9926528831152606e-13,3.9424682036049964e-13,5.0184679510263886e-15,0.9999999999999999,SIDE_NORTH
18,0.16685702102311342,5.529184341126892e-11,SIDE,NORTH,0.9999999997526948,2.473059297903494e-10,SIDE,0.9983251684582745,,0,0.0,False,6.0185127165485485e-28,4.14051155063511e-13,2.4212402702055034e-19,1.0820306233632509e-19,1.3392096468422523e-19,0.9999999999999999,SIDE_NORTH
19,0.18083684897594685,2.056117632097509e-11,MAIN,MAIN,0.999999999995588,0.999999999995588,L,0.9826133396288819,S,5,0.992882045657189,True,0.9826133396245469,9.081364896655622e-11,0.016084395981719096,0.012953379318930203,0.0031310166627888923,1.0000000000000009,LS3
20,0.18650648727829408,2.386914680509727e-11,MAIN,MAIN,0.9999999998937897,0.9999999998937897,T,0.9054509917581092,S,5,0.9454204040923748,True,0.037171200318023165,5.148577754380964e-06,0.9054509916619409,0.8968640732977378,0.008586918364203099,0.9999999999999993,TS3
