mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
14,0.1466126787104222,V,S,VS,False,5.521144765120124e-05,0.9988762577616557,0.0010685307906931462,0.0,0.2923732375091808,0.05364953649398968,0.655530061783389,53.86493227844784,3.485660759553244e-08,0.001572054454256153,1710967.680980594,144754233666746.7,3128020941.299488
15,0.146721063910322,L,S,LS,False,0.9762220580974214,0.0006086103433169219,0.02316933155926189,0.0,0.7158969292408003,0.5099567310167266,0.2734805155985237,0.001154385263136846,2.140963534905905e-05,1.255878199127467e-06,1604833.487716175,2929279262.499386,142935655638849.9
16,0.149609018106641,T,S,TS,False,0.004718923092519999,0.01517565815326141,0.9801054187542185,0.0,0.6203524266839769,0.08243360038220526,0.3480451950970114,9.05826687454405e-07,3.571455781258055e-06,4.968732837068828e-08,1733752.010425157,4236120.939447891,2531043960066.806
17,0.1658822687852368,SIDE,NA,SIDE,False,0.4375451132440979,0.06119750262577086,0.09708628600166969,1.0,0.0006975325235704701,0.0001076229671245797,0.9993021496343052,85.46311316379185,2.113667783390274e-08,427.3866625537715,46956.95522978425,90999310674943.31,535.224293408744
18,0.1673991679865131,SIDE,NA,SIDE,False,0.7997163412821947,0.02551569102432542,0.042873634805043324,1.0,0.7411883563392687,0.6663639044578074,0.2585690405410914,3.253148546078252e-10,378.3139280289355,1.80287622612917e-11,2337363107179.677,264.7288210053005,5967202819473735.0
19,0.1678938569889236,SIDE,NA,SIDE,False,0.16142647668938528,0.34505634455510775,0.03632324598227236,1.0,0.006841113153645881,0.003129421735548662,0.9931238543468035,1.157026403905051e-05,0.1047018316973717,7.688760845830212e-05,260288485729.0308,15573482.66520265,4054560216.476293
20,0.1833709532863631,L,S,LS,False,0.9963818006607114,9.037792563638661e-05,0.0035278214136522227,0.0,0.4166497155783975,0.3455241054482993,0.5809271470602642,2.356611050077062e-09,69.98783759425731,4.91420073448213e-06,7645912301313.211,16864642.38171214,241148468078417.1
21,0.1875228544532981,V,S,VS,False,1.0167743561419662e-08,0.999995957442774,4.032389482385577e-06,0.0,0.00522397569585346,0.0007375174103179788,0.9944575797305081,7.31322616967519e-05,5.974934705444851e-07,285.8088468323825,95473.27458823154,984109944803889.5,2038443.384925616
22,0.1908532344536374,T,S,TS,False,0.0013511548812789476,0.013724764121728609,0.9849240809969925,0.0,0.02765638116178648,0.01744059501878489,0.9718890340388248,2.910434483504616e-08,0.3565968896264046,4.461801318633724e-06,300848017694.2424,15404539.55607382,1234075669807.006
23,0.1975300328910432,SIDE,NA,SIDE,False,0.5146448288032791,0.10370942670236885,0.07965851351059905,1.0,0.001302664809117243,0.0001581073466783913,0.9986972402015539,20.2062168497471,1.843563542626508e-11,710.6520724499134,74.76412073742023,9886695370655490.0,240.3544767081369
24,0.1999698947590763,SIDE,NA,SIDE,False,0.098651506406297,0.07594030239827015,0.32797412535723064,1.0,0.01224623646263737,0.00975544466094482,0.9877337920207834,2.527727831054626e-07,0.3423868065702446,3.723252829046359e-09,398246438518.8217,44827.94248017507,5549180854883.917
25,0.220263819165628,L,A,LA,False,0.9850011463232181,0.0006557150397678031,0.014343138637014223,0.0,0.8647117233093277,0.7388840684977573,0.1308141522554236,1.941360182632761e-05,0.0001188004784280793,1.271497817796672e-12,15739870.69972434,46429456.13275154,62731387766699.29
26,0.2211299701001007,V,A,VA,False,7.658040517578669e-07,0.9999786445081235,2.0589687824788746e-05,0.0,0.4887189287141929,0.07181138370005746,0.4721099137441135,24.52680757360777,2.89336918300226e-10,0.0001786204458950604,72.419003740963,62513691321458.5,43823924.64819324
27,0.2226480631257738,LOCAL_GATE_ROTX,NA,LOCAL,True,2.223114155942148e-05,0.0007897177575818198,0.9991880511008586,0.0,0.9792502884913488,0.8355036758880892,0.02033517273831081,0.0001180795694262389,1.101596378160288e-09,0.009598680407430206,2514.703130371939,23909170877.90336,812321.7980508077
28,0.2244191054911815,LOCAL_GATE_ROTX,NA,LOCAL,True,2.6940018402487528e-05,0.0008549809664117636,0.9991180790151858,0.0,0.9824079588749116,0.8371058372115558,0.0173302686842224,0.001216864355661754,4.485196163041852e-12,0.003913107139567145,472.0412326041546,16859025283.89187,189841.7758032262
29,0.2253380432500229,T,A,TA,False,0.0019186520694410623,0.015255112853519655,0.9828262350770393,0.0,0.4773722142212981,0.1091479669040971,0.4803488854179995,4.150458904373555e-07,1.362615377976402e-05,4.01718212084384e-10,2424055.336857083,1147673.531032018,852577680446.7301
30,0.2310450093566286,LOCAL_GATE_ROTX,NA,LOCAL,True,0.04194518812618226,0.06783293513949214,0.7723572033313634,1.0,0.9783559232231948,0.8414305980483906,0.0211776281707559,0.1348435294917038,2.900530077121518e-09,0.005968356373564916,12503.44538449532,843159749929.053,40749.45315546622
31,0.2312660885829376,SIDE,NA,SIDE,False,0.07200607873045256,0.09632360576058903,0.5543532111406325,1.0,0.9074298267097859,0.7399388764597161,0.09214559638494442,5.992534988169599,6.14414099003885e-10,1.711185334619355,23747.51362834826,89781217510926.39,181717.6730902537
32,0.231488425519973,LOCAL_GATE_ROTX,NA,LOCAL,True,0.6852419462709776,0.0914146710412897,0.17371837892205197,1.0,0.9773398787823222,0.8635888493951063,0.02213878509090961,8.244785219264155e-08,0.01641045714547206,2.906841297593571e-08,1539602691913.38,1413504.119331865,12799794872560.92
33,0.23564285443573,SIDE,NA,SIDE,False,0.08256420039462026,0.15336179024088437,0.07099436253824369,1.0,0.6870297273090016,0.3539624517804498,0.3093698069571721,2.156604606411595e-09,0.0002193243764166149,3.106414218363149e-09,101507124777.6702,104308.9262626515,1054340003232.467
34,0.2402504536944964,LOCAL_GATE_ROTX,NA,LOCAL,True,0.05646009463671346,0.03610803904154086,0.4123961778437176,1.0,0.9774147311064117,0.8415378202585578,0.02192351954470827,0.003693758056416747,1.883502141400544e-09,0.001393349149954052,714.9707268834387,2423157365.947137,11969.0397942639
35,0.2483162863368878,LOCAL_GATE_ROTX,NA,LOCAL,True,0.3895705422830856,0.316296434698386,0.22322273257543088,1.0,0.9863651043829136,0.8821047155147688,0.01279481672434665,0.0001882152875646594,0.0286522356075675,4.36323168936038e-05,2528323356402.378,692745721.9588168,13285353476160.66
36,0.2483638934815047,SIDE,NA,SIDE,False,0.3232666096485333,0.16974315866248685,0.3056015125719202,1.0,0.5569289053198033,0.0872016887889829,0.4428559750109359,4.424726901001638,1.23989293733668e-06,1.025846848065002,109479723.5104697,16289273979084.12,575525098.6164258
37,0.2507887838637265,LOCAL_GATE_ROTX,NA,LOCAL,True,6.157126794055665e-05,0.007433741605821686,0.9925046871262377,0.0,0.989927973829792,0.8325156698823177,0.009669075340999752,2.713911558263352e-07,1.445728232093096e-08,5.217486981695726e-06,600.6084053534701,11604056.01465801,149486.8594528406
38,0.2532183499261837,SIDE,NA,SIDE,False,0.8186778893528375,0.09834894363048782,0.037082655054744014,1.0,0.8533749069421268,0.5643671595527929,0.1436339749930648,2.543959862966358e-07,8.10359587015476e-05,5.339537706807277e-08,158239991273.0578,938955.5327772786,838587743903.4506
39,0.2541921313821665,L,A,LA,False,0.5279305391763072,0.38740448519936227,0.08466497562433042,0.0,0.9766423904603311,0.875182255280657,0.0229278794766727,1.247349350751508e-07,0.3137757792529717,5.057572143902541e-07,29617199915.31803,1878999.272346689,1519600504784.106
40,0.2560931493008602,L,S,LS,False,0.9396925962719277,0.04851307296072923,0.011794330767343037,0.0,0.9627973382002685,0.8623514678524182,0.03691618304460704,8.213086154105887e-08,22.10520767772671,1.037082120690285e-06,2428478939875.181,3658308.363125424,74764188534144.14
41,0.256791262970067,L,S,LS,False,0.5619015171027033,0.18872591987086956,0.24937256302642707,0.0,0.968246124936489,0.8665342133790931,0.03144158141836472,3.158077452632908e-08,12.99161473027443,1.563276659677668e-05,1491389070019.956,53205216.30377572,45734129239404.72
42,0.2574010344951639,LOCAL_GATE_ROTX,NA,LOCAL,True,0.6615035720936524,0.24508044819247538,0.09066546261997167,1.0,0.9627128564207238,0.866021475310207,0.03677072565604719,4.698975183654648e-08,0.1103910606029525,2.926377994076363e-09,1765435248.797891,82880.00938565693,1195929456152.247
43,0.2585832251959026,V,S,VS,False,9.722982471089636e-08,0.9999833171891785,1.6585580996823786e-05,0.0,0.08379118931667279,0.009562013328931697,0.9121867481767193,5.075486165339692e-05,4.67461358629978e-06,57.72524958222238,562424.1628424381,198774050601334.3,16128603.72962824
44,0.263690753540967,T,S,TS,False,0.0025329361031028977,0.02749574323837352,0.9699713206585235,0.0,0.4494395606007561,0.3875884770947132,0.5483425176834897,1.026595534408076e-07,0.4473638602316444,8.49706819732293e-07,153739137114.3556,2909269.706637214,1549336787970.254
45,0.2651215829711283,LOCAL_GATE_ROTX,NA,LOCAL,True,2.4986955980767222e-05,0.0003621916832706813,0.9996128213607486,0.0,0.9935036098390587,0.8402426130447617,0.006112434171238823,3.637729419287187e-07,1.096755703095276e-07,8.976422812781021e-06,23758.82161295727,1275490102.964723,375890.0075177035
46,0.2669432663736532,LOCAL_GATE_ROTX,NA,LOCAL,True,0.25781500992964074,0.07809670827326715,0.6252152780515466,1.0,0.9662274317112554,0.869071037567146,0.03305899950710179,2.301130415192426e-08,0.1365575598311662,2.204415973870236e-09,2729346.91507772,6464.816603350703,118235992.1244413
47,0.2730286024749293,LOCAL_GATE_ROTX,NA,LOCAL,True,0.05711151505087972,0.13820646697656344,0.46421760746741103,1.0,0.9867019610181058,0.8396112741344768,0.01300998050659086,0.001059625656019214,1.313139504247281e-08,0.007539479551245734,13.66052586124924,110437303848.3993,174238.9812775888
48,0.2857140963715922,L,S,LS,False,0.755982098300939,0.17113017436412573,0.07288772733493523,0.0,0.982538373853227,0.8730541145776927,0.016995143712563,1.088155495764152e-08,0.01920834650390114,4.870831552413871e-08,5616774089.153757,352153.6731169283,116937212588.7319
49,0.2867091550236212,LOCAL_GATE_ROTX,NA,LOCAL,True,2.518712118263843e-05,0.0008039216356182747,0.999170891243199,0.0,0.994384993013496,0.8409152868190498,0.0052529507490651,6.335283556018567e-07,9.863068412100265e-09,0.002252595258275392,2546.250615831616,7849995754.040956,95320.37453650565
50,0.2927043840462103,L,S,LS,False,0.7649921002796584,0.1687100529625016,0.06629784675784009,0.0,0.9778086468081246,0.8690655883905258,0.02157872247933422,4.003686999131196e-06,5.831339560709396e-08,3.949145145655625e-11,667142.8048091934,8121966.09558141,34027883698012.55
51,0.2942908926815099,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.65193111793222,5.073193804039029e-09,9.41146388815438e-05,1133.210395084371,33731811359587.69,167800.0287504252
52,0.2947293785770991,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001996263032252077,0.0002867767280536044,1.950536283478774e-08,55683178.33396259,502753437.8601155,317411651515.2401
53,0.2980249399808931,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.672328351390207e-08,0.2464080182153675,5.380809959349118e-09,1140975317.70681,116737.0686111625,3686502045019.01
54,0.3001298664808643,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.259405298567339e-07,4.594562073269116e-06,2.872944004107755e-12,946064.0052728286,637711.1202261875,433114740135.8907
55,0.3106923689936054,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0005319624888867837,7.12003768041681e-08,7.529213611088188e-10,6099.284470762133,1398048397.347421,275338.675909976
56,0.313514384877625,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.052737303870699e-06,2.363222224480579e-09,6.710782621644374e-05,63.34902561738907,28010740.71653626,32640.71029951781
57,0.3138070008745519,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.390172417512289e-07,0.1313950847534379,7.930638988447234e-07,14794932385.33622,2244272.190728873,491115360925.2615
58,0.3297902994885381,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.908634059364117e-09,20.2223565817857,6.562220826960505e-06,2282015936434.685,22360688.62071553,69337130797309.14
59,0.3313168007358778,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.656310764441838e-07,0.09044434885000303,7.599583401898948e-08,15807256582.19886,147992.4685505976,754489591055.443
60,0.3318862616573182,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.014739809727986e-08,0.004032869586515505,1.765852871797792e-13,141817436990.7215,36481.01487892557,4158251124917.713
61,0.3321175634559651,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.435989687852114e-05,3.905975316592707e-06,23.80902076890439,460969.578041326,81610833638860.17,13850624.70329296
