mode,d10_hz,c20_hz,delta_hz
50,2.9271894745159999e-01,2.9268401093649998e-01,3.4936515100003618e-05
51,2.9429100245430001e-01,2.9432995322270000e-01,-3.8950768399992342e-05
52,2.9562783976860002e-01,2.9558124984759998e-01,4.6589921000039780e-05
53,2.9883546479150003e-01,2.9883546462249999e-01,1.6900003618758319e-10
54,3.0014946370890000e-01,3.0018805041020002e-01,-3.8586701300025172e-05
55,3.1131518094040000e-01,3.1131308238049998e-01,2.0985599000211685e-06
56,3.1400795471170001e-01,3.1400795475130000e-01,-3.9599989953842396e-11
57,3.1468026778769997e-01,3.1463851674080001e-01,4.1751046899962674e-05
58,3.2979406314580001e-01,3.2973611920500001e-01,5.7943940799998206e-05
59,3.3188431953390002e-01,3.3188431940140001e-01,1.3250001096309916e-10
60,3.3193960481750001e-01,3.3193960482099999e-01,-3.4999780851308060e-12
61,3.3211770731419998e-01,3.3215775643439999e-01,-4.0049120200003063e-05
62,3.3227185083779998e-01,3.3227185081979999e-01,1.7999990387096432e-11
63,3.3350390389439999e-01,3.3350390396849999e-01,-7.4100003910615442e-11
64,3.3563591371980001e-01,3.3557950919009999e-01,5.6404529700015971e-05
65,3.3862496896060001e-01,3.3866388383489998e-01,-3.8914874299966762e-05
66,3.3955276802970003e-01,3.3955276803899997e-01,-9.2999496992263175e-12
67,3.4021528651799998e-01,3.4021967873400000e-01,-4.3922160000153809e-06
68,3.4532894401920000e-01,3.4532894410560000e-01,-8.6399998266983857e-11
69,3.4735371195409998e-01,3.4735371194659997e-01,7.5000006205527825e-12
70,3.5139205430780002e-01,3.5139205434460002e-01,-3.6800007485737751e-11
71,3.5436688469930000e-01,3.5436688464290000e-01,5.6399995784772727e-11
72,3.6252295348609997e-01,3.6244483974460001e-01,7.8113741499963307e-05
73,3.6514811689999999e-01,3.6508442889199999e-01,6.3688007999995744e-05
74,3.6731411946859999e-01,3.6736199516000001e-01,-4.7875691400023346e-05
75,3.6790332496720002e-01,3.6791942780859999e-01,-1.6102841399967538e-05
76,3.6875095419460002e-01,3.6875095421229998e-01,-1.7699952614691483e-11
77,3.7142554035550002e-01,3.7142554034809999e-01,7.4000250371852871e-12
