id,category,stationarity,U10,Iu,truth_L_mm,pred_L_mm,rel_L_mm,truth_V_mm,pred_V_mm,rel_V_mm,truth_Tcw_rad,pred_Tcw_rad,rel_Tcw_rad,truth_Tg_rad,pred_Tg_rad,rel_Tg_rad,rel_max_abs
midwest_derecho_2020,derecho,reference_only,44.1,0.2,18344.80349598184,18556.201544072403,0.01152359294210301,1913.581332919856,1937.047327320754,0.012262867533878003,0.0660492540210576,0.0668409667297755,0.011986701749356512,0.0632064018129906,0.06403434114458374,0.013098979024985061,0.013098979024985061
great_storm_1987,extratropical_storm,stationary_ok,35.2,0.15,8460.706911863397,8560.400261380018,0.01178309927942708,882.9109345786209,893.3934565685695,0.011872683392409817,0.0304147068756763,0.030782179411221168,0.012082067305365027,0.0287327442545391,0.029277146905476406,0.018947116436721985,0.018947116436721985
lothar_1999,extratropical_storm,stationary_ok,33.0,0.16,7839.9919505727985,7892.588602597114,0.006708763523726928,818.6115687832446,824.1486036284742,0.006763934271610276,0.0281785474808749,0.028374677146409167,0.006960247531118549,0.0267366688300135,0.027016153041976514,0.010453217404902567,0.010453217404902567
bora_adriatic,foehn_bora,stationary_ok,48.6,0.18,20303.71141746843,20355.995712902964,0.0025751102524808793,2120.7579805834143,2126.2930994086664,0.002609971942073932,0.0732011040668699,0.07339635695491352,0.00266734894961765,0.0704745706772111,0.0706840479523247,0.002972381003540266,0.002972381003540266
mistral_strong,foehn_bora,stationary_ok,28.0,0.16,5464.326380079878,5534.990843349866,0.012931962396608371,573.0307804595075,580.566637786694,0.013150877028182588,0.019657604437398,0.019911626052420764,0.012922307793491714,0.0190526874858503,0.01925463136957136,0.010599233513436734,0.013150877028182588
patagonia_westerlies,extratropical_storm,stationary_ok,28.0,0.15,5122.805981324886,5189.053915640499,0.012931962396608349,537.2163566807881,544.2812229250256,0.013150877028183069,0.0184290041600606,0.018667149424144464,0.01292230779349292,0.0178618945179847,0.01805121690897315,0.010599233513434123,0.013150877028183069
xinjiang_baili_fengqu,local_record,stationary_ok,30.0,0.16,6361.69622096727,6432.311311714042,0.011100041293080645,665.1797859771605,673.0838896368266,0.011882657630755978,0.0228753098504763,0.0231295953360301,0.011116154806904347,0.0219772871956552,0.022177936829137955,0.009129863558520723,0.011882657630755978
cape_denison_katabatic,katabatic,stationary_ok,19.4,0.15,2260.3236017003032,2336.3508659747113,0.033635566260166186,250.54365254875364,258.42325737265577,0.03145002774464152,0.0083034216925003,0.008588058881825662,0.034279505469708677,0.0082830190388625,0.008514238742605313,0.027914906709494296,0.034279505469708677
thule_1972_gust,katabatic,stationary_ok,65.1,0.15,31174.57667708075,31428.155654968818,0.008134159463165922,3266.919443811687,3293.4953917894795,0.00813486479690635,0.1129753567897551,0.1139341709836531,0.008486932204890888,0.1109634456461577,0.11199852346190536,0.0093280972821296,0.0093280972821296
piteraq_tasiilaq,katabatic,stationary_ok,45.0,0.16,15322.902218787774,15475.778593648645,0.009976985604817436,1598.8090258445216,1615.6739475117274,0.010548427857603248,0.0551841192400521,0.055755494750313266,0.010353984409457909,0.0528732985184029,0.053472506213442066,0.011332897924471353,0.011332897924471353
barrow_olivia_1996,local_record,stationary_ok,48.9,0.12,13713.462577785744,13764.057042296312,0.003689401143116516,1432.514450512302,1437.870262022863,0.0037387486797398495,0.0494456352251886,0.04963464471542995,0.0038225717877938426,0.0476227827546929,0.0478255665000651,0.004258124654679415,0.004258124654679415
mt_washington_1934,local_record,stationary_ok,72.7,0.15,39089.50963174307,39318.71617009873,0.005863632992968653,4099.351327650919,4123.427573084125,0.005873184196437694,0.1419926163510034,0.14293158174477516,0.00661277619852179,0.1405299891292287,0.14146068794443056,0.006622777251807834,0.006622777251807834
