case_index,github_scenario_id,i08_case_id,category,confidence,stationarity,stationarity_interpretation,station,response,unit,mean,sigma,raw_rms_convention,mean_plus_3p5sigma,mean_minus_3p5sigma,sample_max,sample_min,first_half_sigma,second_half_sigma,half_sigma_relative_difference,half_mean_difference_over_sigma,stationarity_metric_is_solver_gate
34,lothar_1999,I08-lothar_1999-S20260805,extratropical_storm,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,system_roll_deg,deg,0.5832639884755936,0.8868705458161146,1.0614783301078878,3.6873108988319947,-2.5207829218808078,2.9813416871850227,-2.0666866912475936,0.7551508651892677,1.0014595794214136,0.2777279225182613,0.009530046299931988,False
34,lothar_1999,I08-lothar_1999-S20260805,extratropical_storm,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,system_roll_deg,deg,0.3962693864090711,3.17121507519067,3.1958777322860126,11.495522149576415,-10.702983376758274,6.4533540133757725,-6.675312374370647,3.666318165822288,2.581388047641446,0.34211811323317776,0.04330976941148626,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,lateral_common_m,m,62.836738768533266,87.46063999419911,107.69317196210628,368.94897874823016,-243.2755012111636,233.8098861708603,-99.72002535697199,85.54674105754557,89.3181634018826,0.04312136687528433,0.03242950303752348,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,lateral_common_m,m,83.57156991905578,122.94506982720296,148.65967003041357,513.8793143142661,-346.7361744761546,324.5860126386985,-138.03870825864016,120.24363871069819,125.56663108850643,0.04329569608028693,0.03250888411721381,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,lateral_common_m,m,62.83523292993459,87.20364831246513,107.48368609404518,368.04800202356256,-242.37753616369338,247.71345064153238,-90.87635918039308,85.4543056556516,88.89492633699217,0.03945500845345669,0.037939579814189085,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,vertical_common_m,m,-0.30781375100110686,6.039292073452583,6.047131390483638,20.829708506082934,-21.445336008085146,15.437327815290464,-14.684481271328867,6.364703441367275,5.695782719467894,0.1107614458389604,0.006567324048496846,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,vertical_common_m,m,-0.4207606120481115,3.7441165757116095,3.7676847566071037,12.683647402942523,-13.525168627038745,10.362287899580167,-11.884361826611554,3.943737050103041,3.5294194169485875,0.11065831546009164,0.06463963198258808,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,vertical_common_m,m,-0.30782036559804293,6.07218825005486,6.0799854869548176,20.944838509593968,-21.560479240790055,15.487699456951933,-16.359398813555032,6.367012226934292,5.762802730107345,0.09950440795729412,0.004335295958549059,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,local_roll_L_deg,deg,9.102478936659043,7.592944646802898,11.853604143961208,35.67778520046919,-17.472827327151098,29.49930192141317,-13.716792905629077,8.187758348911524,6.946121188393663,0.163525116838652,0.030738248683837184,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,local_roll_L_deg,deg,6.283952286124353,3.2026112479680204,7.052997599595421,17.493091654012424,-4.925187081763718,15.791991831615903,-2.974941605496155,3.050735014699363,3.3450215320194983,0.09188955340953509,0.06085338431600742,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,local_roll_L_deg,deg,9.045757467624224,7.563562442705934,11.791234243614669,35.51822601709499,-17.426711081846545,26.490131664835317,-12.723650353655977,8.29729494566335,6.734896732191933,0.2065690903336357,0.08780278884478629,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,local_roll_R_deg,deg,9.102474691843636,7.627085141357641,11.875498864012929,35.79727268659538,-17.59232330290811,29.34737275417742,-14.25584862202252,8.172553705888532,7.0388661645991775,0.1486396861026197,0.02506841887624736,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,local_roll_R_deg,deg,6.2839464812339605,3.211999991897988,7.057260610673617,17.52594645287692,-4.9580534904089975,16.64087534689921,-2.758159903390287,3.068958181101213,3.34616975016136,0.08630497190516526,0.06265133850378662,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,local_roll_R_deg,deg,9.0457532525907,7.514927456176288,11.760092966399009,35.34799934920771,-17.256492844026308,28.309337403873602,-13.84847506767575,8.25346683956654,6.677355097539944,0.20973079929484068,0.09425448020687131,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,system_roll_deg,deg,0.8576210358948764,6.40563961763665,6.46279604755137,23.27735969762315,-21.562117625833398,12.863056394866069,-14.47262543158546,7.346952900131096,5.299169338649077,0.31968447863408606,0.0245479127043915,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,system_roll_deg,deg,1.265056207731692,2.1503646148669944,2.494881797920007,8.791332359766173,-6.2612199443027885,7.605987236842012,-5.388105275800131,1.7256986698367909,2.5041701436162307,0.36201836116410907,0.0010911038014899661,False
35,bora_adriatic,I08-bora_adriatic-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,system_roll_deg,deg,0.8594788245388144,6.467637706644649,6.524495486567699,23.496210797795086,-21.777253148717456,12.916848955462847,-14.041042725384914,7.459564954190237,5.290134500623176,0.3354285678893634,0.0420654212859743,False
36,mistral_strong,I08-mistral_strong-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,lateral_common_m,m,20.85725549735393,21.50500969450699,29.958146618953922,96.12478942812841,-54.410278433420544,63.93213502736526,-18.356174794629677,20.98614204679933,21.997482740615816,0.04702814405495533,0.05503826646538467,False
36,mistral_strong,I08-mistral_strong-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,lateral_common_m,m,27.739720747404576,30.2756517186609,41.062235620258704,133.7045017627177,-78.22506026790857,88.78868891590555,-27.652337281760893,29.579492441792134,30.937628100666892,0.04485900655402403,0.05324972763707373,False
36,mistral_strong,I08-mistral_strong-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,lateral_common_m,m,20.856755667779606,21.454887360987076,29.921838991915248,95.94886143123438,-54.23535009567516,67.50052601061554,-17.664567378452734,21.003409831149295,21.878622532517,0.04079316225911142,0.06196141144125491,False
36,mistral_strong,I08-mistral_strong-S20260805,foehn_bora,C,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,vertical_common_m,m,-0.10217191687618246,1.4711012379031012,1.4746450260175126,5.046682415784672,-5.251026249537037,3.943565164377123,-3.4891744253074495,1.5538456517073336,1.3835462797003149,0.11576318992822167,0.0013027865098354852,False
