category,event_count,station,response,unit,category_aggregation,maximum_sigma,maximum_sigma_case_id,maximum_mean_plus_3p5sigma,maximum_mean_plus_case_id,minimum_mean_minus_3p5sigma,minimum_mean_minus_case_id,reference_only_event_count
typhoon,8,L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,159.8091886313269,I08-goni_2020_landfall-S20260805,716.2468268738187,I08-goni_2020_landfall-S20260805,-402.4174935454696,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/2,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,224.37921437665287,I08-goni_2020_landfall-S20260805,994.0205290187589,I08-goni_2020_landfall-S20260805,-576.6339716178111,I08-goni_2020_landfall-S20260805,0
typhoon,8,3L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,159.31017657412178,I08-goni_2020_landfall-S20260805,714.4965243231054,I08-goni_2020_landfall-S20260805,-400.67471169574713,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,10.917834386240255,I08-goni_2020_landfall-S20260805,37.44375391434628,I08-goni_2020_landfall-S20260805,-38.9810867893355,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/2,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.920898355565498,I08-goni_2020_landfall-S20260805,23.172429129741207,I08-goni_2020_landfall-S20260805,-25.27385935921728,I08-goni_2020_landfall-S20260805,0
typhoon,8,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,10.97916555689094,I08-goni_2020_landfall-S20260805,37.65839649378247,I08-goni_2020_landfall-S20260805,-39.19576240445412,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,12.238310469021465,I08-goni_2020_landfall-S20260805,65.56461779509164,I08-goni_2020_landfall-S20260805,-20.103555488058625,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/2,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.385563810071967,I08-goni_2020_landfall-S20260805,38.041635239818476,I08-goni_2020_landfall-S20260805,-6.657311430685294,I08-goni_2020_landfall-S20260805,0
typhoon,8,3L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,11.97818600682495,I08-goni_2020_landfall-S20260805,64.51253844189606,I08-goni_2020_landfall-S20260805,-19.334763605878596,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,12.30297035000294,I08-goni_2020_landfall-S20260805,65.79091677845734,I08-goni_2020_landfall-S20260805,-20.32987567156324,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/2,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.404758810688533,I08-goni_2020_landfall-S20260805,38.10880324611848,I08-goni_2020_landfall-S20260805,-6.724508428701258,I08-goni_2020_landfall-S20260805,0
typhoon,8,3L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,11.86027299802486,I08-goni_2020_landfall-S20260805,64.09983238539704,I08-goni_2020_landfall-S20260805,-18.922078600776988,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.964619939739446,I08-goni_2020_landfall-S20260805,30.017804151548305,I08-goni_2020_landfall-S20260805,-25.734535426627815,I08-goni_2020_landfall-S20260805,0
typhoon,8,L/2,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,3.6006161070318496,I08-goni_2020_landfall-S20260805,15.761229824920276,I08-goni_2020_landfall-S20260805,-9.44308292430267,I08-goni_2020_landfall-S20260805,0
typhoon,8,3L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.052936703282743,I08-goni_2020_landfall-S20260805,30.331552057167688,I08-goni_2020_landfall-S20260805,-26.039004865811517,I08-goni_2020_landfall-S20260805,0
monsoon,3,L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,105.76527242565811,I08-amphan_2020_peak-S20260805,477.4509898153204,I08-amphan_2020_peak-S20260805,-262.90591716428634,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/2,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,148.56870945313256,I08-amphan_2020_peak-S20260805,662.6607496468339,I08-amphan_2020_peak-S20260805,-377.3202165250939,I08-amphan_2020_peak-S20260805,0
monsoon,3,3L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,105.43948641021423,I08-amphan_2020_peak-S20260805,476.3081680497859,I08-amphan_2020_peak-S20260805,-261.7682368217137,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.2770613438426155,I08-amphan_2020_peak-S20260805,24.944226550612434,I08-amphan_2020_peak-S20260805,-25.99520285628587,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/2,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,4.572946488085476,I08-amphan_2020_peak-S20260805,15.287005887721765,I08-amphan_2020_peak-S20260805,-16.723619528876565,I08-amphan_2020_peak-S20260805,0
monsoon,3,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.317579819712675,I08-amphan_2020_peak-S20260805,25.08602992396451,I08-amphan_2020_peak-S20260805,-26.137028814024212,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.375630232587891,I08-amphan_2020_peak-S20260805,44.85411829028221,I08-amphan_2020_peak-S20260805,-13.775293337833029,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/2,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,4.031992027840218,I08-amphan_2020_peak-S20260805,24.83970101991401,I08-amphan_2020_peak-S20260805,-3.3842431749675157,I08-amphan_2020_peak-S20260805,0
monsoon,3,3L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.259822636681832,I08-amphan_2020_peak-S20260805,44.351958928647115,I08-amphan_2020_peak-S20260805,-13.466799528125714,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.418021702099887,I08-amphan_2020_peak-S20260805,45.00248118698368,I08-amphan_2020_peak-S20260805,-13.923670727715532,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/2,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,4.044290213281187,I08-amphan_2020_peak-S20260805,24.882734759065073,I08-amphan_2020_peak-S20260805,-3.427296733903235,I08-amphan_2020_peak-S20260805,0
monsoon,3,3L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.189802822960575,I08-amphan_2020_peak-S20260805,44.10688238487472,I08-amphan_2020_peak-S20260805,-13.2217373758493,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.204101581995995,I08-amphan_2020_peak-S20260805,23.178454176246223,I08-amphan_2020_peak-S20260805,-20.250256897725745,I08-amphan_2020_peak-S20260805,0
monsoon,3,L/2,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,2.4516032011638074,I08-amphan_2020_peak-S20260805,10.740267969482613,I08-amphan_2020_peak-S20260805,-6.420954438664041,I08-amphan_2020_peak-S20260805,0
monsoon,3,3L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.269189121121145,I08-amphan_2020_peak-S20260805,23.409432110653096,I08-amphan_2020_peak-S20260805,-20.47489173719492,I08-amphan_2020_peak-S20260805,0
tornado,5,L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,523.7888973741279,I08-bridge_creek_1999_ref-S20260805,2073.8647470474884,I08-bridge_creek_1999_ref-S20260805,-1592.6575345714073,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/2,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,735.0996376195301,I08-bridge_creek_1999_ref-S20260805,2892.846578398884,I08-bridge_creek_1999_ref-S20260805,-2252.850884937827,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,3L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,522.1618219547863,I08-bridge_creek_1999_ref-S20260805,2068.1642171822564,I08-bridge_creek_1999_ref-S20260805,-1586.9685365012479,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,35.316017595612294,I08-bridge_creek_1999_ref-S20260805,122.42743424032241,I08-bridge_creek_1999_ref-S20260805,-124.78468892896365,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/2,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,22.599972570251285,I08-bridge_creek_1999_ref-S20260805,77.4888000047157,I08-bridge_creek_1999_ref-S20260805,-80.7110079870433,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,35.51590537067922,I08-bridge_creek_1999_ref-S20260805,123.12701612558251,I08-bridge_creek_1999_ref-S20260805,-125.48432146917204,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,39.93090903978826,I08-bridge_creek_1999_ref-S20260805,174.6118246001616,I08-bridge_creek_1999_ref-S20260805,-104.9045386783562,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/2,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,22.320496318361315,I08-bridge_creek_1999_ref-S20260805,102.18316377484797,I08-bridge_creek_1999_ref-S20260805,-54.06031045368124,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,3L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,38.80104291855627,I08-bridge_creek_1999_ref-S20260805,170.44010510612551,I08-bridge_creek_1999_ref-S20260805,-101.16719532376837,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,40.14211851774752,I08-bridge_creek_1999_ref-S20260805,175.35104151950372,I08-bridge_creek_1999_ref-S20260805,-105.64378810472891,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/2,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,22.38471738761669,I08-bridge_creek_1999_ref-S20260805,102.40791529015631,I08-bridge_creek_1999_ref-S20260805,-54.285106423160514,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,3L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,38.379191127410124,I08-bridge_creek_1999_ref-S20260805,168.96360769763436,I08-bridge_creek_1999_ref-S20260805,-99.6907301942365,I08-bridge_creek_1999_ref-S20260805,5
