passage_index,passage_id,span,gate_index,catwalk,gate_name,subsystem,mct_node,family,rope_index,ansys_rope_node,rope_x_mm,rope_y_mm,rope_z_mm,beam_axis_x_mm,beam_axis_y_mm,beam_axis_z_mm,rigid_offset_z_mm,surface_gap_mm,original_mass21_element_id,original_mass21_real_id,original_combined_mass_tonne
2,H02,north_side,6,1,CW1_GATE_06,gate,1033,GANTRY_PHI54,3,12471,-23140.0,374918.30000000005,190318.383196477,-23140.0,374913.6499999999,190425.383196477,107.0,0.0,511235,200006,0.3663743286423279
2,H02,north_side,6,1,CW1_GATE_06,gate,1033,GANTRY_PHI54,4,12866,-19760.0,374918.30000000005,190318.383196477,-19760.0,374913.6499999999,190425.383196477,107.0,0.0,511306,200006,0.3663743286423279
2,H02,north_side,6,1,CW1_GATE_06,gate,1033,GANTRY_PHI54,5,13261,-19500.0,374918.30000000005,190318.383196477,-19500.0,374913.6499999999,190425.383196477,107.0,0.0,511377,200006,0.3663743286423279
2,H02,north_side,6,1,CW1_GATE_06,gate,1033,GANTRY_PHI54,6,13656,-19240.0,374918.30000000005,190318.383196477,-19240.0,374913.6499999999,190425.383196477,107.0,0.0,511448,200006,0.3663743286423279
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,1,14099,18780.0,374909.0,181248.47221642,18780.0,374913.6499999999,181360.97221642,112.5,0.0,511587,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,2,14827,19040.0,374909.0,181248.47221642,19040.0,374913.6499999999,181360.97221642,112.5,0.0,512280,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,3,15555,19300.0,374909.0,181248.47221642,19300.0,374913.6499999999,181360.97221642,112.5,0.0,512973,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,4,16283,19560.0,374909.0,181248.47221642,19560.0,374913.6499999999,181360.97221642,112.5,0.0,513666,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,5,17011,19820.0,374909.0,181248.47221642,19820.0,374913.6499999999,181360.97221642,112.5,0.0,514359,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,6,17739,20080.0,374909.0,181248.47221642,20080.0,374913.6499999999,181360.97221642,112.5,0.0,515052,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,7,18467,20340.0,374909.0,181248.47221642,20340.0,374913.6499999999,181360.97221642,112.5,0.0,515745,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,8,19195,20600.0,374909.0,181248.47221642,20600.0,374913.6499999999,181360.97221642,112.5,0.0,516438,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,9,19923,22300.0,374909.0,181248.47221642,22300.0,374913.6499999999,181360.97221642,112.5,0.0,517131,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,10,20651,22560.0,374909.0,181248.47221642,22560.0,374913.6499999999,181360.97221642,112.5,0.0,517824,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,11,21379,22820.0,374909.0,181248.47221642,22820.0,374913.6499999999,181360.97221642,112.5,0.0,518517,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,12,22107,23080.0,374909.0,181248.47221642,23080.0,374913.6499999999,181360.97221642,112.5,0.0,519210,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,13,22835,23340.0,374909.0,181248.47221642,23340.0,374913.6499999999,181360.97221642,112.5,0.0,519903,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,14,23563,23600.0,374909.0,181248.47221642,23600.0,374913.6499999999,181360.97221642,112.5,0.0,520596,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,15,24291,23860.0,374909.0,181248.47221642,23860.0,374913.6499999999,181360.97221642,112.5,0.0,521289,200012,0.4385070365082602
2,H02,north_side,6,2,CW2_GATE_06,bottom,81,BOTTOM_PHI50,16,25019,24120.0,374909.0,181248.47221642,24120.0,374913.6499999999,181360.97221642,112.5,0.0,521982,200012,0.4385070365082602
