mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
32,0.2315200770453135,LOCAL_GATE_ROTX,NA,LOCAL,True,0.05157579347836442,0.05749889661970359,0.563373505695561,1.0,0.9119270546994949,0.7560736711519688,0.02694498484158638,2.083332235422963e-07,0.01653481604064409,6.353024126778452e-08,1561113090764.85,3206946.336419738,12988133123201.78
33,0.2359357840439271,SIDE,NA,SIDE,False,0.08293180303041489,0.15704095700615334,0.02279646314269932,1.0,0.5396705857278686,0.126190417752121,0.167406638849249,9.312357250584797e-09,0.0001655481796822184,1.562476209386189e-08,79960127124.39218,414326.5771606335,850385323746.8065
34,0.2381970386940077,LOCAL_GATE_ROTX,NA,LOCAL,True,0.08542239896699724,0.35398888580963583,0.3248449697034947,1.0,0.9627538106109738,0.8073304853340233,0.01986144840632888,0.001281474954699337,4.016975841709703e-09,0.002515479957729038,271.8019055337919,1104021477.677183,2997.317617833616
35,0.2479159944050816,T,S,TS,False,5.3204454687642634e-05,0.005564321917479962,0.9943824736278324,0.0,0.9707038449580255,0.7940225502612319,0.01083973115424488,8.833826549010927e-09,7.902302274517516e-09,0.0002240991385432894,152.3980526200934,732406994.5086164,121071.4526315446
36,0.2483324773211832,LOCAL_GATE_ROTX,NA,LOCAL,True,0.4709247672614128,0.15349707779516725,0.29072505425987194,1.0,0.949194955603561,0.8258290845883888,0.01605654564815727,0.0001189146543522861,0.0296913310402497,2.771396378949998e-05,2549435197136.464,438188909.9583749,13400240510596.29
37,0.2483594863063761,SIDE,NA,SIDE,False,0.6522847539392427,0.2920364577742246,0.027401381708970236,1.0,0.555609082504654,0.07523732784409407,0.438448479243128,4.422802670488263,8.034879725614152e-07,1.025004875779669,69348237.59823279,16290508806695.61,364445184.751211
38,0.2510682666722476,L,A,LA,False,0.5075759345522693,0.408062849022545,0.08436121642518557,0.0,0.9604093570850676,0.8340492866241281,0.02148612681215488,1.891410796958157e-07,0.07832573267245586,2.120605394104098e-07,5665701273.916221,710475.076339792,487880730149.982
39,0.25326471652952,L,M,,False,0.6179120113444314,0.24576639382676763,0.13632159482880102,0.0,0.9472852766759059,0.8224004275525334,0.03528726151233388,3.773471118792795e-08,0.6490514705856588,3.74082041572312e-07,57974506385.31827,1249965.007958896,1948708912873.367
40,0.2533979836119931,SIDE,NA,SIDE,False,0.6743759048500108,0.16853001965421827,0.15420680075185647,1.0,0.6728876989924057,0.3598975087820355,0.1040069368174103,7.470426172362608e-08,5.498758072379593e-05,5.82691173747005e-09,136419602713.4308,249660.3620948661,722521532422.0969
41,0.254523677305612,LOCAL_GATE_ROTX,NA,LOCAL,True,0.8851428829913183,0.09008870937407729,0.01735492775343258,1.0,0.9463975135577369,0.8252840118286855,0.03616860888471463,1.114570355890037e-09,0.1133251082261826,3.054970422325308e-10,1595201875.473981,6773.014691694042,1236002059956.255
42,0.2564053205019901,L,S,LS,False,0.9818831157348228,0.0007646886064300874,0.017352195658747103,0.0,0.9644786776746198,0.83396605567652,0.01621624015527166,4.458427725284557e-10,34.73907533555857,8.66665329907366e-06,3897999620250.125,29586196.59109102,119771612566901.4
43,0.2585814301971029,V,S,VS,False,1.0106597135375996e-07,0.9999831262235762,1.677271045240474e-05,0.0,0.0842951308022415,0.009462029316487335,0.9111787934098631,4.916170786598647e-05,3.676721683862863e-06,57.72501351920494,447815.7495557581,198773736995969.2,12569674.03789678
